,0
0,1.3136751478273567
1,1.3089689600974672
2,1.0249088460686213
3,0.19463029457055306
4,-0.13304642747435055
5,-4.0119990152837826
6,-1.0014496070544394
7,-2.491739543986063
8,-1.5664186324552638
9,-2.021474504085615
10,-2.309735297319618
11,-2.3753285579124777
12,-2.5820708449442145
13,-4.4204519519940595
14,-4.422813484179644
15,-4.970321599728546
16,-4.974043116297462
17,-4.399751646751132
18,-3.9526548201270226
19,-3.6602796601030994
20,-3.45926479661091
21,-3.3134169371065516
22,-3.2029208543732794
23,-3.116378983290816
24,-3.0767549126722438
25,-3.0981264452958572
26,-3.0426823243576804
27,-2.995501510172726
28,-2.953796869805243
29,-2.8678548677822877
30,-2.880558421183321
31,-2.93327076363784
32,-2.855589929255053
33,-2.830444634836599
34,-2.808183543508572
35,-2.7883425342591694
36,-2.7705511571725423
37,-2.754503268877073
38,-2.739948378885421
39,-2.7267036342275306
40,-2.714583325238174
41,-2.7034571846566884
42,-2.6932071203588417
43,-2.68373383159229
44,-2.6749526311850733
45,-2.6667855716755944
46,-2.659176438246058
47,-2.652068206037349
48,-2.6454115619448606
49,-2.639164665171774
50,-2.6332922544518818
51,-2.627762550518124
52,-2.6225424898963428
53,-2.61761149313527
54,-2.6129425568476523
55,-2.6085141489790984
56,-2.604313484709829
57,-2.600320576432558
58,-2.5965167230921846
59,-2.5928966764539356
60,-2.589441801254145
61,-2.586140763939129
62,-2.582987741319165
63,-2.579968756342367
64,-2.5770765430212004
65,-2.574303845183154
66,-2.571644533530593
67,-2.5690879215626765
68,-2.566632269640679
69,-2.564276473343692
70,-2.562001264515716
71,-2.559806972197871
72,-2.5576948057667153
73,-2.5556594721848853
74,-2.553700133407365
75,-2.551798037079481
76,-2.549962814947041
77,-2.548186967416265
78,-2.546471085532951
79,-2.544809996232379
80,-2.5432007994251142
81,-2.5416397221269755
82,-2.5401302229762965
83,-2.5386625640146416
84,-2.537235277766154
85,-2.535860858771768
86,-2.534515103781089
87,-2.533213449616507
88,-2.5319438361736117
89,-2.530708309178705
90,-2.5295123736307463
91,-2.528341359464955
92,-2.52720437598345
93,-2.52609546437496
94,-2.5250197510093475
95,-2.5239650536844978
96,-2.5229429375407
97,-2.5219425618255884
98,-2.5209587046939155
99,-2.520012356632957
0970536096607
