,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,5.342818885287204,1.0,26.683965091142895,[ 1.02187031 -0.99758034],0.00045444074978100184,0.0068154992622036885,[ 1.0260905  -0.99950418],0.0068154992622036885,[ 1.0260905  -0.99950418],2.1241557598114014,1,A2,5,10.620778799057007
1,0,1,0.004982164280247642,1.0,0.009304518738930592,[-1.04976     1.04325682],1.1365447747908904e-06,6.076233319602555e-06,[ 1.0002826  -0.99960602],6.076233319602555e-06,[ 1.0002826  -0.99960602],2.075000524520874,1,A2,5,10.37500262260437
2,0,2,0.004982164280247642,1.0,0.023473500148366588,[ 1.00023098 -0.99955171],1.0803409373150533e-06,6.027774580547557e-06,[ 1.00028368 -0.99960806],6.027774580547557e-06,[ 1.00028368 -0.99960806],1.8160786628723145,1,A2,5,9.080393314361572
3,0,3,7.3662441646430365e-06,1.0,3.773319432987762e-06,[ 1.00022642 -0.99957977],2.842525426394598e-07,1.6288385073633403e-06,[ 1.00015282 -0.99979742],1.6288385073633403e-06,[ 1.00015282 -0.99979742],0.9496142864227295,1,A2,5,4.7480714321136475
4,0,4,6.516776380025317e-06,1.0,3.424109567270978e-06,[ 1.00022005 -0.99961667],1.273806095721487e-07,7.497734322684009e-07,[ 1.00010662 -0.99986322],7.497734322684009e-07,[ 1.00010662 -0.99986322],2.0804476737976074,1,A2,5,10.402238368988037
5,1,0,5.342818885287204,1.0,26.683965092408542,[ 1.02186881 -0.99758033],0.0004544408882840086,0.006815506241103187,[ 1.02609051 -0.99950418],0.006815506241103187,[ 1.02609051 -0.99950418],1.8789269924163818,1,A2,5,9.39463496208191
6,1,1,0.004981512829402005,1.0,0.009303215988005901,[-1.04975359  1.04325041],1.1364508113776092e-06,6.075807248024132e-06,[ 1.00028265 -0.99960604],6.075807248024132e-06,[ 1.00028265 -0.99960604],1.622675895690918,1,A2,5,8.11337947845459
7,1,2,0.004981512829402005,1.0,0.023470241750636667,[ 1.00023102 -0.99955174],1.080248819131828e-06,6.026591671957746e-06,[ 1.00028371 -0.99960811],6.026591671957746e-06,[ 1.00028371 -0.99960811],2.0296528339385986,1,A2,5,10.148264169692993
8,1,3,7.365640985534307e-06,1.0,3.772856687506141e-06,[ 1.00022646 -0.99957979],2.8422886905869374e-07,1.6287329654107924e-06,[ 1.00015279 -0.99979742],1.6287329654107924e-06,[ 1.00015279 -0.99979742],1.2745347023010254,1,A2,5,6.372673511505127
9,1,4,6.516343770674509e-06,1.0,3.423769348193019e-06,[ 1.00022009 -0.99961668],1.2737039457688887e-07,7.497228038177646e-07,[ 1.00010664 -0.99986323],7.497228038177646e-07,[ 1.00010664 -0.99986323],1.4387290477752686,1,A2,5,7.193645238876343
10,2,0,5.342818885287204,1.0,26.6839643230393,[ 1.02187071 -0.99758035],0.0004544406309784821,0.006815767961154804,[ 1.02609102 -0.99950423],0.006815767961154804,[ 1.02609102 -0.99950423],1.7253828048706055,1,A2,5,8.626914024353027
11,2,1,0.004982338312808338,1.0,0.00930486668786912,[-1.04974275  1.0432397 ],1.1365717152953486e-06,6.082615914751038e-06,[ 1.00028295 -0.99960585],6.082615914751038e-06,[ 1.00028295 -0.99960585],1.3302161693572998,1,A2,5,6.651080846786499
12,2,2,0.004982338312808338,1.0,0.023474370708715227,[ 1.00023096 -0.99955171],1.0803683621282826e-06,6.026938731063405e-06,[ 1.00028365 -0.99960808],6.026938731063405e-06,[ 1.00028365 -0.99960808],1.3126220703125,1,A2,5,6.5631103515625
13,2,3,7.366343005426042e-06,1.0,3.773395356236675e-06,[ 1.0002264  -0.99957977],2.8425861727644153e-07,1.6288490795850995e-06,[ 1.0001529  -0.99979744],1.6288490795850995e-06,[ 1.0001529  -0.99979744],1.1331441402435303,1,A2,5,5.665720701217651
14,2,4,6.516828043868051e-06,1.0,3.4241501740327946e-06,[ 1.00022003 -0.99961666],1.2738444489997364e-07,7.521314285855753e-07,[ 1.00010696 -0.99986304],7.521314285855753e-07,[ 1.00010696 -0.99986304],1.7459096908569336,1,A2,5,8.729548454284668
15,3,0,5.342818885287204,1.0,26.68396432303455,[ 1.02187058 -0.99757997],0.00045444063098016115,0.006815775746085518,[ 1.02609103 -0.99950423],0.006815775746085518,[ 1.02609103 -0.99950423],2.114593744277954,1,A2,5,10.57296872138977
16,3,1,0.004982347214488989,1.0,0.009304884485621005,[-1.04974185  1.0432388 ],1.1365349645777424e-06,6.076328157948827e-06,[ 1.00028261 -0.99960601],6.076328157948827e-06,[ 1.00028261 -0.99960601],1.2936930656433105,1,A2,5,6.468465328216553
17,3,2,0.004982347214488989,1.0,0.023474413770612188,[ 1.00023098 -0.99955171],1.0803370314857677e-06,6.03237080938018e-06,[ 1.00028344 -0.99960783],6.03237080938018e-06,[ 1.00028344 -0.99960783],1.1223185062408447,1,A2,5,5.611592531204224
18,3,3,7.3661215279519925e-06,1.0,3.773224984003318e-06,[ 1.00022641 -0.99957977],2.8424944016538657e-07,1.6288631887118874e-06,[ 1.00015278 -0.99979741],1.6288631887118874e-06,[ 1.00015278 -0.99979741],0.622100830078125,1,A2,5,3.110504150390625
