,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,1.6757533948317938,0.020177030955480846,0.0,[1.44992707 0.34391825],3.8116736401598823,0.33049116273925366,[ 0.90708786 -0.91525739],0.33049116273925366,[ 0.90708786 -0.91525739],0.2599351406097412,4,B1,2,0.5198702812194824
1,0,1,1.6757533948317938,0.02016202225244708,0.0,[-0.26063897 -0.29069958],3.81124087603593,0.3297237198570758,[ 0.90729468 -0.91532398],0.3297237198570758,[ 0.90729468 -0.91532398],0.2694427967071533,4,B1,2,0.5388855934143066
2,1,0,1.6757533948317938,0.020177030955480846,0.0,[ 0.37116808 -1.78972989],3.8116736401598823,0.33049116273925366,[ 0.90708786 -0.91525739],0.33049116273925366,[ 0.90708786 -0.91525739],0.18140912055969238,4,B1,2,0.36281824111938477
3,1,1,1.6757533948317938,0.020164992630417083,0.0,[-1.89703819 -1.59614744],3.811459451283188,0.3295461590049287,[ 0.90722426 -0.91537752],0.3295461590049287,[ 0.90722426 -0.91537752],0.22482609748840332,4,B1,2,0.44965219497680664
4,2,0,1.6757533948317938,0.020177030955480846,0.0,[0.59208142 0.69428215],3.8116736401598823,0.33049116273925366,[ 0.90708786 -0.91525739],0.33049116273925366,[ 0.90708786 -0.91525739],0.17201781272888184,4,B1,2,0.34403562545776367
5,2,1,1.6757533948317938,0.020170800949099347,0.0,[-1.42680834  0.5193774 ],3.8124815880269627,0.33095992265248064,[ 0.90694438 -0.91522236],0.33049116273925366,[ 0.90708786 -0.91525739],0.20920133590698242,4,B1,2,0.41840267181396484
6,3,0,1.6757533948317938,0.020177030955480846,0.0,[-1.69186718 -1.81246992],3.8116736401598823,0.33049116273925366,[ 0.90708786 -0.91525739],0.33049116273925366,[ 0.90708786 -0.91525739],0.2072594165802002,4,B1,2,0.4145188331604004
7,3,1,1.6757533948317938,0.02017045615231979,0.0,[ 0.37116808 -1.78972989],3.8116828281743804,0.33050061176159545,[ 0.907084 -0.915257],0.33049116273925366,[ 0.90708786 -0.91525739],0.25522351264953613,4,B1,2,0.5104470252990723
8,4,0,1.6757533948317938,0.020177030955480846,0.0,[-1.69186718 -1.81246992],3.8116736401598823,0.33049116273925366,[ 0.90708786 -0.91525739],0.33049116273925366,[ 0.90708786 -0.91525739],0.17194914817810059,4,B1,2,0.34389829635620117
9,4,1,1.6757533948317938,0.02017045615231979,0.0,[ 0.37116808 -1.78972989],3.8116828281743804,0.33050061176159545,[ 0.907084 -0.915257],0.33049116273925366,[ 0.90708786 -0.91525739],0.20676398277282715,4,B1,2,0.4135279655456543
