,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,5.342818885287204,1.0,0.0,[1.44992707 0.34391825],0.00045444074978100184,0.0068154992622036885,[ 1.0260905  -0.99950418],0.0068154992622036885,[ 1.0260905  -0.99950418],4.252578258514404,3,C2,2,8.505156517028809
1,0,1,5.342818885287204,1.5,0.0,[1.9678696  1.60601492],0.000501139273250939,0.0067224563019629945,[ 1.02589421 -0.9992855 ],0.0067224563019629945,[ 1.02589421 -0.9992855 ],6.852092266082764,3,C2,2,13.704184532165527
2,1,0,5.342818885287204,2.25,0.0,[-0.26063897 -0.29069958],0.0004544408882840086,0.006815506241103187,[ 1.02609051 -0.99950418],0.006815506241103187,[ 1.02609051 -0.99950418],4.68140983581543,3,C2,35,163.84934425354004
3,1,1,5.342818885287204,3.375,315.4303302901755,[ 1.02567063 -0.99912512],0.0005541471663529321,0.006628151547757269,[ 1.02569592 -0.99913653],0.006628151547757269,[ 1.02569592 -0.99913653],12.485172986984253,3,C2,35,436.98105454444885
4,1,2,0.0066158356876288025,5.0625,0.5858653288194585,[ 1.00008408 -0.99951261],1.8494570244206188e-06,8.146747941196244e-06,[ 1.00008409 -0.99951263],8.146747941196244e-06,[ 1.00008409 -0.99951263],6.0433924198150635,3,C2,35,211.51873469352722
5,1,3,8.147219533381957e-06,7.59375,0.0010720764248730336,[ 1.00005287 -0.99974866],4.869541553637987e-07,2.1758515366728874e-06,[ 1.0000529  -0.99974866],2.1758515366728874e-06,[ 1.0000529  -0.99974866],15.913899898529053,3,C2,35,556.9864964485168
6,1,4,2.1758555719130537e-06,11.390625,0.00042853336212225816,[ 1.00003873 -0.99983077],2.194044671270881e-07,9.883704154983123e-07,[ 1.00003839 -0.99983078],9.883704154983123e-07,[ 1.00003839 -0.99983078],20.960482835769653,3,C2,35,733.6168992519379
7,1,5,9.886821861314806e-07,17.0859375,0.0002923667070488707,[ 1.00003073 -0.99987248],1.240313648623664e-07,5.639836189912593e-07,[ 1.00003111 -0.99987232],5.639836189912593e-07,[ 1.00003111 -0.99987232],25.803783178329468,3,C2,35,903.1324112415314
8,1,6,5.622985413787662e-07,25.62890625,0.000249857957542142,[ 1.00002557 -0.99989772],7.952783045334433e-08,3.6225249099687544e-07,[ 1.00002557 -0.99989771],3.6225249099687544e-07,[ 1.00002557 -0.99989771],29.53790807723999,3,C2,35,1033.8267827033997
9,1,7,3.622194079133038e-07,38.443359375,0.00024185292633876955,[ 1.00002562 -0.99991481],5.5256190021507566e-08,2.526822897096859e-07,[ 1.00002195 -0.99991462],2.526822897096859e-07,[ 1.00002195 -0.99991462],22.9697105884552,3,C2,35,803.939870595932
