,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,5.342818885287204,1.0,0.0,[1.44992707 0.34391825],0.836632627030653,0.08118902054917632,[ 1.06510006 -0.96621485],0.08118902054917632,[ 1.06510006 -0.96621485],0.35881924629211426,2,A1,2,0.7176384925842285
1,0,1,5.342818885287204,0.995,0.0,[-0.26063897 -0.29069958],0.8408231029571027,0.08127422280631486,[ 1.06515039 -0.9662063 ],0.08118902054917632,[ 1.06510006 -0.96621485],0.24991083145141602,2,A1,2,0.49982166290283203
2,1,0,5.342818885287204,1.0,0.0,[ 0.37116808 -1.78972989],0.8366326270312356,0.08118865335150036,[ 1.06509984 -0.96621488],0.08118865335150036,[ 1.06509984 -0.96621488],0.3172800540924072,2,A1,2,0.6345601081848145
3,1,1,5.342818885287204,0.995,0.0,[-1.89703819 -1.59614744],0.8355970810227404,0.08121676474765448,[ 1.06579782 -0.96660256],0.08118865335150036,[ 1.06509984 -0.96621488],0.24090218544006348,2,A1,2,0.48180437088012695
4,2,0,5.342818885287204,1.0,0.0,[0.59208142 0.69428215],0.8366326270308875,0.08118940232117146,[ 1.06510028 -0.96621481],0.08118940232117146,[ 1.06510028 -0.96621481],0.08946967124938965,2,A1,2,0.1789393424987793
5,2,1,5.342818885287204,0.995,0.0,[-1.42680834  0.5193774 ],0.8235159804057872,0.08169169783540964,[ 1.0673878  -0.96733389],0.08118940232117146,[ 1.06510028 -0.96621481],0.09064149856567383,2,A1,2,0.18128299713134766
6,3,0,5.342818885287204,1.0,0.0,[-1.69186718 -1.81246992],0.8366326270312356,0.08118865335150036,[ 1.06509984 -0.96621488],0.08118865335150036,[ 1.06509984 -0.96621488],0.12227010726928711,2,A1,2,0.24454021453857422
7,3,1,5.342818885287204,0.995,0.0,[ 0.37116808 -1.78972989],0.8372632306427548,0.08119086368227199,[ 1.06499546 -0.96615487],0.08118865335150036,[ 1.06509984 -0.96621488],0.09546327590942383,2,A1,2,0.19092655181884766
8,4,0,5.342818885287204,1.0,0.0,[-1.69186718 -1.81246992],0.8366326270312356,0.08118865335150036,[ 1.06509984 -0.96621488],0.08118865335150036,[ 1.06509984 -0.96621488],0.13179278373718262,2,A1,2,0.26358556747436523
9,4,1,5.342818885287204,0.995,0.0,[ 0.37116808 -1.78972989],0.8372632306427548,0.08119086368227199,[ 1.06499546 -0.96615487],0.08118865335150036,[ 1.06509984 -0.96621488],0.11600947380065918,2,A1,2,0.23201894760131836
10,5,0,5.342818885287204,1.0,0.0,[-0.50321372 -0.02317312],0.8366326270312356,0.08118865335150036,[ 1.06509984 -0.96621488],0.08118865335150036,[ 1.06509984 -0.96621488],0.14418315887451172,2,A1,2,0.28836631774902344
11,5,1,5.342818885287204,0.995,0.0,[-1.19233144  1.25504201],0.8657502734161966,0.07874902336495866,[ 1.06228847 -0.96572152],0.07874902336495866,[ 1.06228847 -0.96572152],0.1894063949584961,2,A1,2,0.3788127899169922
12,6,0,5.342818885287204,1.0,0.0,[ 0.37116808 -1.78972989],0.8366326270312356,0.08118865335150036,[ 1.06509984 -0.96621488],0.08118865335150036,[ 1.06509984 -0.96621488],0.13421130180358887,2,A1,2,0.26842260360717773
13,6,1,5.342818885287204,0.995,0.0,[-1.89703819 -1.59614744],0.8355970810227404,0.08121676474765448,[ 1.06579782 -0.96660256],0.08118865335150036,[ 1.06509984 -0.96621488],0.27947402000427246,2,A1,2,0.5589480400085449
14,7,0,5.342818885287204,1.0,0.0,[-0.26063897 -0.29069958],0.8366326270312356,0.08118865335150036,[ 1.06509984 -0.96621488],0.08118865335150036,[ 1.06509984 -0.96621488],0.12675952911376953,2,A1,2,0.25351905822753906
15,7,1,5.342818885287204,0.995,0.0,[-0.12469795  1.84466338],0.8047013072158187,0.08369779252230547,[ 1.0674213  -0.96646272],0.08118865335150036,[ 1.06509984 -0.96621488],0.09462642669677734,2,A1,2,0.1892528533935547
16,8,0,5.342818885287204,1.0,0.0,[-0.50321372 -0.02317312],0.8366326270312356,0.08118865335150036,[ 1.06509984 -0.96621488],0.08118865335150036,[ 1.06509984 -0.96621488],0.10358333587646484,2,A1,2,0.2071666717529297
17,8,1,5.342818885287204,0.995,0.0,[-1.19233144  1.25504201],0.8657502734161966,0.07874902336495866,[ 1.06228847 -0.96572152],0.07874902336495866,[ 1.06228847 -0.96572152],0.12869787216186523,2,A1,2,0.25739574432373047
18,9,0,5.342818885287204,1.0,0.0,[1.44992707 0.34391825],0.836632627030653,0.08118902054917632,[ 1.06510006 -0.96621485],0.08118902054917632,[ 1.06510006 -0.96621485],0.21298670768737793,2,A1,2,0.42597341537475586
19,9,1,5.342818885287204,0.995,0.0,[-0.26063897 -0.29069958],0.8408231029571027,0.08127422280631486,[ 1.06515039 -0.9662063 ],0.08118902054917632,[ 1.06510006 -0.96621485],0.22901201248168945,2,A1,2,0.4580240249633789
20,10,0,5.342818885287204,1.0,0.0,[-0.50321372 -0.02317312],0.8366323838237726,0.08118929336644762,[ 1.06510039 -0.96621492],0.08118929336644762,[ 1.06510039 -0.96621492],0.4213676452636719,2,A1,2,0.8427352905273438
21,10,1,5.342818885287204,0.995,0.0,[-1.19233144  1.25504201],0.8657502734161966,0.07874902336495866,[ 1.06228847 -0.96572152],0.07874902336495866,[ 1.06228847 -0.96572152],0.5425949096679688,2,A1,2,1.0851898193359375
22,11,0,5.342818885287204,1.0,0.0,[0.59208142 0.69428215],0.8366326270308875,0.08118940232117146,[ 1.06510028 -0.96621481],0.08118940232117146,[ 1.06510028 -0.96621481],0.3065364360809326,2,A1,2,0.6130728721618652
23,11,1,5.342818885287204,0.995,0.0,[-1.42680834  0.5193774 ],0.8235159804057872,0.08169169783540964,[ 1.0673878  -0.96733389],0.08118940232117146,[ 1.06510028 -0.96621481],0.135178804397583,2,A1,2,0.270357608795166
24,12,0,5.342818885287204,1.0,0.0,[-1.69186718 -1.81246992],0.8366325856714951,0.0811896619622905,[ 1.06510064 -0.9662149 ],0.0811896619622905,[ 1.06510064 -0.9662149 ],0.18987512588500977,2,A1,2,0.37975025177001953
25,12,1,5.342818885287204,0.995,0.0,[ 0.37116808 -1.78972989],0.8372632306427548,0.08119086368227199,[ 1.06499546 -0.96615487],0.0811896619622905,[ 1.06510064 -0.9662149 ],0.24853014945983887,2,A1,2,0.49706029891967773
26,13,0,5.342818885287204,1.0,0.0,[0.59208142 0.69428215],0.8366326270308875,0.08118940232117146,[ 1.06510028 -0.96621481],0.08118940232117146,[ 1.06510028 -0.96621481],0.19948267936706543,2,A1,2,0.39896535873413086
27,13,1,5.342818885287204,0.995,0.0,[-1.42680834  0.5193774 ],0.8235159804057872,0.08169169783540964,[ 1.0673878  -0.96733389],0.08118940232117146,[ 1.06510028 -0.96621481],0.13987302780151367,2,A1,2,0.27974605560302734
28,14,0,5.342818885287204,1.0,0.0,[1.44992707 0.34391825],0.8366322492660814,0.08118965824162623,[ 1.0651005  -0.96621482],0.08118965824162623,[ 1.0651005  -0.96621482],0.19070053100585938,2,A1,2,0.38140106201171875
29,14,1,5.342818885287204,0.995,0.0,[-0.26063897 -0.29069958],0.8408227363347365,0.08127385999624956,[ 1.06515013 -0.96620631],0.08118965824162623,[ 1.0651005  -0.96621482],0.19307160377502441,2,A1,2,0.38614320755004883
30,0,0,5.342818885287204,1.0,0.0,[1.44992707 0.34391825],0.8366326270306104,0.08118908729728615,[ 1.06510009 -0.96621484],0.08118908729728615,[ 1.06510009 -0.96621484],0.3838188648223877,3,A1,2,0.7676377296447754
31,0,1,5.342818885287204,0.6666666666666666,0.0,[-0.26063897 -0.29069958],0.8408231029571596,0.08127442272054294,[ 1.06515032 -0.96620617],0.08118908729728615,[ 1.06510009 -0.96621484],0.16063737869262695,3,A1,2,0.3212747573852539
32,1,0,5.342818885287204,1.0,0.0,[ 0.37116808 -1.78972989],0.8366326270309514,0.08118946124889896,[ 1.0651003  -0.96621479],0.08118946124889896,[ 1.0651003  -0.96621479],0.18969392776489258,3,A1,2,0.37938785552978516
33,1,1,5.342818885287204,0.6666666666666666,0.0,[-1.89703819 -1.59614744],0.8355970810231668,0.08121688994725824,[ 1.06579765 -0.9666024 ],0.08118946124889896,[ 1.0651003  -0.96621479],0.16844820976257324,3,A1,2,0.3368964195251465
34,2,0,5.342818885287204,1.0,0.0,[0.59208142 0.69428215],0.8366326270308377,0.08118881543060485,[ 1.06509993 -0.96621486],0.08118881543060485,[ 1.06509993 -0.96621486],0.16179871559143066,3,A1,2,0.32359743118286133
