,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,5.342818885287204,1.0,0.0,[1.44992707 0.34391825],0.00045444074978100184,0.0068154992622036885,[ 1.0260905  -0.99950418],0.0068154992622036885,[ 1.0260905  -0.99950418],1.0972542762756348,2,C2,2,2.1945085525512695
1,0,1,5.342818885287204,0.995,0.0,[1.9678696  1.60601492],0.000501139273250939,0.0067224563019629945,[ 1.02589421 -0.9992855 ],0.0067224563019629945,[ 1.02589421 -0.9992855 ],0.7662062644958496,2,C2,2,1.5324125289916992
2,1,0,5.342818885287204,1.0,0.0,[-0.26063897 -0.29069958],0.0004544408882840086,0.006815506241103187,[ 1.02609051 -0.99950418],0.006815506241103187,[ 1.02609051 -0.99950418],1.05952787399292,2,C2,2,2.11905574798584
3,1,1,5.342818885287204,0.995,0.0,[-0.90236432  1.00990726],0.0005541471663529321,0.006628151547757269,[ 1.02569592 -0.99913653],0.006628151547757269,[ 1.02569592 -0.99913653],0.674807071685791,2,C2,2,1.349614143371582
4,2,0,5.342818885287204,1.0,0.0,[0.59208142 0.69428215],0.0004544406309784821,0.006815767961154804,[ 1.02609102 -0.99950423],0.006815767961154804,[ 1.02609102 -0.99950423],0.6728579998016357,2,C2,2,1.3457159996032715
5,2,1,5.342818885287204,0.995,0.0,[-0.12469795  1.84466338],0.00041747687673324304,0.0068863169236526925,[ 1.02623775 -0.99975011],0.006815767961154804,[ 1.02609102 -0.99950423],0.5854911804199219,2,C2,2,1.1709823608398438
6,3,0,5.342818885287204,1.0,0.0,[-1.36554052 -0.88183983],0.00045444063098016115,0.006815775746085518,[ 1.02609103 -0.99950423],0.006815775746085518,[ 1.02609103 -0.99950423],0.6469931602478027,2,C2,2,1.2939863204956055
7,3,1,5.342818885287204,0.995,0.0,[-0.26063897 -0.29069958],0.0004337576729378768,0.006845489340910761,[ 1.02615338 -0.99959787],0.006815775746085518,[ 1.02609103 -0.99950423],0.5902907848358154,2,C2,2,1.1805815696716309
8,4,0,5.342818885287204,1.0,0.0,[-1.36554052 -0.88183983],0.00045444063098016115,0.006815775746085518,[ 1.02609103 -0.99950423],0.006815775746085518,[ 1.02609103 -0.99950423],0.6274397373199463,2,C2,2,1.2548794746398926
9,4,1,5.342818885287204,0.995,0.0,[-0.26063897 -0.29069958],0.0004337576729378768,0.006845489340910761,[ 1.02615338 -0.99959787],0.006815775746085518,[ 1.02609103 -0.99950423],0.549344539642334,2,C2,2,1.098689079284668
10,5,0,5.342818885287204,1.0,0.0,[-1.42680834  0.5193774 ],0.0004544408123542022,0.006815510547788732,[ 1.02609052 -0.99950419],0.006815510547788732,[ 1.02609052 -0.99950419],0.8369033336639404,2,C2,2,1.6738066673278809
11,5,1,5.342818885287204,0.995,0.0,[ 1.69175463 -0.45537824],0.000462743472489907,0.006788255379526167,[ 1.02603428 -0.9994464 ],0.006788255379526167,[ 1.02603428 -0.9994464 ],0.7918860912322998,2,C2,2,1.5837721824645996
12,6,0,5.342818885287204,1.0,0.0,[-0.26063897 -0.29069958],0.0004544418718749744,0.006815550417091742,[ 1.0260906  -0.99950421],0.006815550417091742,[ 1.0260906  -0.99950421],0.9580211639404297,2,C2,2,1.9160423278808594
13,6,1,5.342818885287204,0.995,0.0,[-0.90236432  1.00990726],0.0005541473252206016,0.006628152545500419,[ 1.02569592 -0.99913653],0.006628152545500419,[ 1.02569592 -0.99913653],0.9611122608184814,2,C2,2,1.922224521636963
14,7,0,5.342818885287204,1.0,0.0,[1.9678696  1.60601492],0.00045444063098016115,0.006815775746085518,[ 1.02609103 -0.99950423],0.006815775746085518,[ 1.02609103 -0.99950423],0.6898775100708008,2,C2,2,1.3797550201416016
