,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,10032.58491712145,1.0,0.0,[-199.80828597  -68.6239497  -238.85306714   10.5211658 ],716.8435269992915,23826.962235443032,[-300.         -200.         -196.01416736   15.02880539],23826.962235443032,[-300.         -200.         -196.01416736   15.02880539],0.8093369007110596,1,A1,2,1.6186738014221191
1,0,1,10032.58491712145,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],716.4868058197317,23828.032298503993,[-300.         -200.         -196.03168      15.02880517],23826.962235443032,[-300.         -200.         -196.01416736   15.02880539],0.6238923072814941,1,A1,2,1.2477846145629883
2,1,0,10032.58491712145,1.0,0.0,[-204.05137176 -161.70897362 -213.85917322   13.92638867],716.8435451878468,23826.465638985344,[-300.         -200.         -196.00671727   15.02881753],23826.465638985344,[-300.         -200.         -196.00671727   15.02881753],0.5455942153930664,1,A1,2,1.0911884307861328
3,1,1,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],706.5428475920926,23824.494555926998,[-300.         -200.         -195.93529316   15.02812753],23824.494555926998,[-300.         -200.         -195.93529316   15.02812753],0.6066639423370361,1,A1,2,1.2133278846740723
4,2,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.856115739618,23826.75725149938,[-300.         -200.         -196.01108458   15.02881026],23826.75725149938,[-300.         -200.         -196.01108458   15.02881026],0.647301435470581,1,A1,2,1.294602870941162
5,2,1,10032.58491712145,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],717.0908034361782,23826.649625262038,[-300.         -200.         -196.01022504   15.02882627],23826.649625262038,[-300.         -200.         -196.01022504   15.02882627],0.5791435241699219,1,A1,2,1.1582870483398438
6,3,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8435244127759,23826.846303220093,[-300.         -200.         -196.01274172   15.02881377],23826.846303220093,[-300.         -200.         -196.01274172   15.02881377],0.5389642715454102,1,A1,2,1.0779285430908203
7,3,1,10032.58491712145,1.0,0.0,[-231.37024194 -110.03545914 -186.61430224   17.85503398],717.0908054594183,23826.53865534794,[-300.         -200.         -196.00791258   15.02881752],23826.53865534794,[-300.         -200.         -196.00791258   15.02881752],0.5224912166595459,1,A1,2,1.0449824333190918
8,4,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8435244127759,23826.846303220093,[-300.         -200.         -196.01274172   15.02881377],23826.846303220093,[-300.         -200.         -196.01274172   15.02881377],0.5070843696594238,1,A1,2,1.0141687393188477
9,4,1,10032.58491712145,1.0,0.0,[-231.37024194 -110.03545914 -186.61430224   17.85503398],717.0908054594183,23826.53865534794,[-300.         -200.         -196.00791258   15.02881752],23826.53865534794,[-300.         -200.         -196.00791258   15.02881752],0.49681735038757324,1,A1,2,0.9936347007751465
10,5,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8435233985074,23826.834475159,[-300.         -200.         -196.01219641   15.02880755],23826.834475159,[-300.         -200.         -196.01219641   15.02880755],0.50244140625,1,A1,2,1.0048828125
11,5,1,10032.58491712145,1.0,0.0,[-255.19796438 -137.64294632 -176.14833971   11.35161891],717.0908192464849,23826.938916702933,[-300.         -200.         -196.01483161   15.02882392],23826.834475159,[-300.         -200.         -196.01219641   15.02880755],0.495211124420166,1,A1,2,0.990422248840332
12,6,0,10032.58491712145,1.0,0.0,[-204.05137176 -161.70897362 -213.85917322   13.92638867],716.8435451878468,23826.465638985344,[-300.         -200.         -196.00671727   15.02881753],23826.465638985344,[-300.         -200.         -196.00671727   15.02881753],0.5315618515014648,1,A1,2,1.0631237030029297
13,6,1,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],706.5428475920926,23824.494555926998,[-300.         -200.         -195.93529316   15.02812753],23824.494555926998,[-300.         -200.         -195.93529316   15.02812753],0.5910892486572266,1,A1,2,1.1821784973144531
14,7,0,10032.58491712145,1.0,0.0,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],716.8435399785521,23826.824580254877,[-300.         -200.         -196.01388449   15.02884033],23826.824580254877,[-300.         -200.         -196.01388449   15.02884033],0.5079314708709717,1,A1,2,1.0158629417419434
15,7,1,10032.58491712145,1.0,0.0,[-139.47357931  -47.11358453 -163.97375516    6.865816  ],715.5003416726249,23826.89502744463,[-300.         -200.         -196.01336718   15.02881071],23826.824580254877,[-300.         -200.         -196.01388449   15.02884033],0.5448756217956543,1,A1,2,1.0897512435913086
16,8,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8379671070143,23826.71186986978,[-300.         -200.         -196.01002157   15.0288046 ],23826.71186986978,[-300.         -200.         -196.01002157   15.0288046 ],0.5058298110961914,1,A1,2,1.0116596221923828
17,8,1,10032.58491712145,1.0,0.0,[-255.19796438 -137.64294632 -176.14833971   11.35161891],717.0908192464849,23826.938916702933,[-300.         -200.         -196.01483161   15.02882392],23826.71186986978,[-300.         -200.         -196.01002157   15.0288046 ],0.5202972888946533,1,A1,2,1.0405945777893066
18,9,0,10032.58491712145,1.0,0.0,[-199.80828597  -68.6239497  -238.85306714   10.5211658 ],716.8435269992915,23826.962235443032,[-300.         -200.         -196.01416736   15.02880539],23826.962235443032,[-300.         -200.         -196.01416736   15.02880539],0.5031373500823975,1,A1,2,1.006274700164795
19,9,1,10032.58491712145,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],716.4868058197317,23828.032298503993,[-300.         -200.         -196.03168      15.02880517],23826.962235443032,[-300.         -200.         -196.01416736   15.02880539],0.5829501152038574,1,A1,2,1.1659002304077148
20,10,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8546908368007,23827.31398782743,[-300.         -200.         -196.02047981   15.02881514],23827.31398782743,[-300.         -200.         -196.02047981   15.02881514],0.5210719108581543,1,A1,2,1.0421438217163086
21,10,1,10032.58491712145,1.0,0.0,[-255.19796438 -137.64294632 -176.14833971   11.35161891],717.0908192464849,23826.938916702933,[-300.         -200.         -196.01483161   15.02882392],23826.938916702933,[-300.         -200.         -196.01483161   15.02882392],0.5546512603759766,1,A1,2,1.1093025207519531
22,11,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8435234506032,23826.84606227535,[-300.         -200.         -196.01222561   15.0288047 ],23826.84606227535,[-300.         -200.         -196.01222561   15.0288047 ],0.5026369094848633,1,A1,2,1.0052738189697266
23,11,1,10032.58491712145,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],717.0908034361782,23826.649625262038,[-300.         -200.         -196.01022504   15.02882627],23826.649625262038,[-300.         -200.         -196.01022504   15.02882627],0.4954867362976074,1,A1,2,0.9909734725952148
24,12,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8435244127759,23826.846303220093,[-300.         -200.         -196.01274172   15.02881377],23826.846303220093,[-300.         -200.         -196.01274172   15.02881377],0.5022656917572021,1,A1,2,1.0045313835144043
25,12,1,10032.58491712145,1.0,0.0,[-231.37024194 -110.03545914 -186.61430224   17.85503398],717.0908054594183,23826.53865534794,[-300.         -200.         -196.00791258   15.02881752],23826.53865534794,[-300.         -200.         -196.00791258   15.02881752],0.495342493057251,1,A1,2,0.990684986114502
26,13,0,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],716.8459392955992,23826.907046273573,[-300.         -200.         -196.01312824   15.02880299],23826.907046273573,[-300.         -200.         -196.01312824   15.02880299],0.5630323886871338,1,A1,2,1.1260647773742676
27,13,1,10032.58491712145,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],717.0908034361782,23826.649625262038,[-300.         -200.         -196.01022504   15.02882627],23826.649625262038,[-300.         -200.         -196.01022504   15.02882627],0.6543166637420654,1,A1,2,1.3086333274841309
28,14,0,10032.58491712145,1.0,0.0,[-199.80828597  -68.6239497  -238.85306714   10.5211658 ],716.8427497739322,23826.767639881866,[-300.         -200.         -196.01111833   15.02880785],23826.767639881866,[-300.         -200.         -196.01111833   15.02880785],0.6202213764190674,1,A1,2,1.2404427528381348
29,14,1,10032.58491712145,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],716.4868058197317,23828.032298503993,[-300.         -200.         -196.03168      15.02880517],23826.767639881866,[-300.         -200.         -196.01111833   15.02880785],0.6734178066253662,1,A1,2,1.3468356132507324
