,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,9.213593566308734,1.0,0.0,[-199.80828597  -68.6239497  -238.85306714   10.5211658 ],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.1667935848236084,1,B1,2,0.3335871696472168
1,0,1,9.213593566308734,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.05085182189941406,1,B1,2,0.10170364379882812
2,1,0,9.213593566308734,1.0,0.0,[-204.05137176 -161.70897362 -213.85917322   13.92638867],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.05026364326477051,1,B1,2,0.10052728652954102
3,1,1,9.213593566308734,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.05019211769104004,1,B1,2,0.10038423538208008
4,2,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],8.640722563510806,10.291648658043881,[-300.         -200.         -250.           15.18683432],10.291648658043881,[-300.         -200.         -250.           15.18683432],0.4049384593963623,1,B1,2,0.8098769187927246
5,2,1,9.213593566308734,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],8.640710886152554,10.291648662186438,[-300.         -200.         -250.           15.18683521],10.291648658043881,[-300.         -200.         -250.           15.18683432],0.40259742736816406,1,B1,2,0.8051948547363281
6,3,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.05327177047729492,1,B1,2,0.10654354095458984
7,3,1,9.213593566308734,1.0,0.0,[-231.37024194 -110.03545914 -186.61430224   17.85503398],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.050202131271362305,1,B1,2,0.10040426254272461
8,4,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],8.64072147458937,10.291648665196293,[-300.         -200.         -250.           15.18683585],10.291648665196293,[-300.         -200.         -250.           15.18683585],0.4310798645019531,1,B1,2,0.8621597290039062
9,4,1,9.213593566308734,1.0,0.0,[-231.37024194 -110.03545914 -186.61430224   17.85503398],8.640721000362248,10.29164865662505,[-300.         -200.         -250.           15.18683402],10.29164865662505,[-300.         -200.         -250.           15.18683402],0.42899346351623535,1,B1,2,0.8579869270324707
10,5,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.050136566162109375,1,B1,2,0.10027313232421875
11,5,1,9.213593566308734,1.0,0.0,[-255.19796438 -137.64294632 -176.14833971   11.35161891],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.04946613311767578,1,B1,2,0.09893226623535156
12,6,0,9.213593566308734,1.0,0.0,[-204.05137176 -161.70897362 -213.85917322   13.92638867],8.640726200318575,10.291648668741171,[-300.         -200.         -250.           15.18683661],10.291648668741171,[-300.         -200.         -250.           15.18683661],0.4522085189819336,1,B1,2,0.9044170379638672
13,6,1,9.213593566308734,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],8.639558575922123,10.291640258580511,[-300.         -200.         -250.           15.18448518],10.291640258580511,[-300.         -200.         -250.           15.18448518],0.4346456527709961,1,B1,2,0.8692913055419922
14,7,0,9.213593566308734,1.0,0.0,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.049310922622680664,1,B1,2,0.09862184524536133
15,7,1,9.213593566308734,1.0,0.0,[-139.47357931  -47.11358453 -163.97375516    6.865816  ],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.04942178726196289,1,B1,2,0.09884357452392578
16,8,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],8.640717116500156,10.291648682613712,[-300.         -200.         -250.           15.18683957],10.291648682613712,[-300.         -200.         -250.           15.18683957],0.38181304931640625,1,B1,2,0.7636260986328125
17,8,1,9.213593566308734,1.0,0.0,[-255.19796438 -137.64294632 -176.14833971   11.35161891],8.640707929418738,10.291648682213566,[-300.         -200.         -250.           15.18683948],10.291648682213566,[-300.         -200.         -250.           15.18683948],0.3869967460632324,1,B1,2,0.7739934921264648
18,9,0,9.213593566308734,1.0,0.0,[-199.80828597  -68.6239497  -238.85306714   10.5211658 ],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.04893374443054199,1,B1,2,0.09786748886108398
19,9,1,9.213593566308734,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.04929804801940918,1,B1,2,0.09859609603881836
20,10,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],8.640721525904574,10.291648670141404,[-300.        -200.        -250.          15.1868369],10.291648670141404,[-300.        -200.        -250.          15.1868369],0.39874744415283203,1,B1,2,0.7974948883056641
21,10,1,9.213593566308734,1.0,0.0,[-255.19796438 -137.64294632 -176.14833971   11.35161891],8.64071215667142,10.291648673155521,[-300.         -200.         -250.           15.18683755],10.291648670141404,[-300.        -200.        -250.          15.1868369],0.4328432083129883,1,B1,2,0.8656864166259766
22,11,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.0493319034576416,1,B1,2,0.0986638069152832
23,11,1,9.213593566308734,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.049471139907836914,1,B1,2,0.09894227981567383
24,12,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],10.624740156339012,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.049402713775634766,1,B1,2,0.09880542755126953
25,12,1,9.213593566308734,1.0,0.0,[-231.37024194 -110.03545914 -186.61430224   17.85503398],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.04954242706298828,1,B1,2,0.09908485412597656
26,13,0,9.213593566308734,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],10.624740156339016,10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.05276942253112793,1,B1,2,0.10553884506225586
27,13,1,9.213593566308734,1.0,0.0,[-162.93259163  -79.19842302 -241.81618403   17.61312228],11.528766902873718,11.531134414563196,[-162.93259163  -79.19842302 -241.81618403   17.61312228],10.626936708244763,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.05207514762878418,1,B1,2,0.10415029525756836
28,14,0,9.213593566308734,1.0,0.0,[-199.80828597  -68.6239497  -238.85306714   10.5211658 ],3.2077607923645743,13.094124299065944,[-100.         -154.82955265 -250.            9.16955346],13.094124299065944,[-100.         -154.82955265 -250.            9.16955346],0.3290989398956299,1,B1,2,0.6581978797912598
