,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,10032.58491712145,1.0,0.0,[-226.88119251 -177.10460697 -189.16246062   16.82902664],0.0025852840857626866,89.11005501908218,[-198.55896404 -100.65160191 -168.85242065   14.91979023],89.11005501908218,[-198.55896404 -100.65160191 -168.85242065   14.91979023],71.23131918907166,1,C2,2,142.4626383781433
1,0,1,10032.58491712145,1.0,0.0,[-276.41903244  -61.57066948 -233.28261965   11.90873761],0.002044756351538911,90.20082421101331,[-198.53133288 -100.65335213 -168.85889725   14.9193028 ],89.11005501908218,[-198.55896404 -100.65160191 -168.85242065   14.91979023],77.2520694732666,1,C2,2,154.5041389465332
2,1,0,10032.58491712145,1.0,0.0,[-261.87573498  -71.58369083 -211.72834259   13.55803555],0.0025852842146832245,89.10985274943233,[-198.55897314 -100.65160949 -168.85242418   14.91979033],89.10985274943233,[-198.55897314 -100.65160949 -168.85242418   14.91979033],70.74973940849304,1,C2,2,141.49947881698608
3,1,1,10032.58491712145,1.0,0.0,[-194.15637417 -170.31358961 -199.56371953   12.43830978],0.002263023915752361,88.79709615948211,[-198.56499346 -100.64227053 -168.85491523   14.91992505],88.79709615948211,[-198.56499346 -100.64227053 -168.85491523   14.91992505],69.72647333145142,1,C2,2,139.45294666290283
4,2,0,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],0.0025852840559521828,89.10997729728118,[-198.55896479 -100.65160296 -168.85242484   14.91979027],89.10997729728118,[-198.55896479 -100.65160296 -168.85242484   14.91979027],71.46744799613953,1,C2,2,142.93489599227905
5,2,1,10032.58491712145,1.0,0.0,[-276.41903244  -61.57066948 -233.28261965   11.90873761],0.002448790034299924,89.1697889157213,[-198.55857129 -100.65196688 -168.85362829   14.91976279],89.10997729728118,[-198.55896479 -100.65160296 -168.85242484   14.91979027],74.87938857078552,1,C2,2,149.75877714157104
6,3,0,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],0.0025852840606934986,89.10994654629783,[-198.55896391 -100.65160397 -168.85242601   14.91979028],89.10994654629783,[-198.55896391 -100.65160397 -168.85242601   14.91979028],67.58855986595154,1,C2,2,135.17711973190308
7,3,1,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],0.0024487900363994205,89.1697906214132,[-198.55857131 -100.65196412 -168.85362716   14.91976278],89.10994654629783,[-198.55896391 -100.65160397 -168.85242601   14.91979028],69.5404007434845,1,C2,2,139.080801486969
8,4,0,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],0.0025852840606934986,89.10994654629783,[-198.55896391 -100.65160397 -168.85242601   14.91979028],89.10994654629783,[-198.55896391 -100.65160397 -168.85242601   14.91979028],60.88300561904907,1,C2,2,121.76601123809814
9,4,1,10032.58491712145,1.0,0.0,[-189.98070595 -141.21607732 -248.14216867   19.59755372],0.0024487900363994205,89.1697906214132,[-198.55857131 -100.65196412 -168.85362716   14.91976278],89.10994654629783,[-198.55896391 -100.65160397 -168.85242601   14.91979028],61.73865795135498,1,C2,2,123.47731590270996
10,5,0,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],0.002585284322920755,89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],62.96123909950256,1,C2,2,125.92247819900513
11,5,1,10032.58491712145,1.0,0.0,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.002448790032853917,89.1697878991799,[-198.55857209 -100.65196564 -168.85362785   14.91976279],89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],65.57166624069214,1,C2,2,131.14333248138428
12,6,0,10032.58491712145,1.0,0.0,[-261.87573498  -71.58369083 -211.72834259   13.55803555],0.0025852840579378015,89.1121050384924,[-198.55894919 -100.65161795 -168.85240261   14.91978932],89.1121050384924,[-198.55894919 -100.65161795 -168.85240261   14.91978932],75.83652472496033,1,C2,2,151.67304944992065
13,6,1,10032.58491712145,1.0,0.0,[-194.15637417 -170.31358961 -199.56371953   12.43830978],0.002263037730849084,88.79561927873705,[-198.56501099 -100.64230262 -168.85493425   14.91992573],88.79561927873705,[-198.56501099 -100.64230262 -168.85493425   14.91992573],74.31170058250427,1,C2,2,148.62340116500854
14,7,0,10032.58491712145,1.0,0.0,[-220.38541904  -52.44224614 -180.53207749    8.32523889],0.0025852840562389885,89.10998329165399,[-198.55896355 -100.65160237 -168.85242415   14.91979027],89.10998329165399,[-198.55896355 -100.65160237 -168.85242415   14.91979027],61.53979277610779,1,C2,2,123.07958555221558
15,7,1,10032.58491712145,1.0,0.0,[-139.47357931  -47.11358453 -163.97375516    6.865816  ],0.002678618255170343,89.1473507709252,[-198.55837165 -100.6564303  -168.85195923   14.91977624],89.10998329165399,[-198.55896355 -100.65160237 -168.85242415   14.91979027],70.95396947860718,1,C2,2,141.90793895721436
16,8,0,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],0.002585284322920755,89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],68.38136339187622,1,C2,2,136.76272678375244
17,8,1,10032.58491712145,1.0,0.0,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.002448790032853917,89.1697878991799,[-198.55857209 -100.65196564 -168.85362785   14.91976279],89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],69.09532976150513,1,C2,2,138.19065952301025
18,9,0,10032.58491712145,1.0,0.0,[-226.88119251 -177.10460697 -189.16246062   16.82902664],0.0025852840857626866,89.11005501908218,[-198.55896404 -100.65160191 -168.85242065   14.91979023],89.11005501908218,[-198.55896404 -100.65160191 -168.85242065   14.91979023],61.149333477020264,1,C2,2,122.29866695404053
19,9,1,10032.58491712145,1.0,0.0,[-276.41903244  -61.57066948 -233.28261965   11.90873761],0.002044756351538911,90.20082421101331,[-198.53133288 -100.65335213 -168.85889725   14.9193028 ],89.11005501908218,[-198.55896404 -100.65160191 -168.85242065   14.91979023],61.142948627471924,1,C2,2,122.28589725494385
20,10,0,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],0.002585284322920755,89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],60.29449224472046,1,C2,2,120.58898448944092
21,10,1,10032.58491712145,1.0,0.0,[-105.80326004  -29.84962707 -156.29017146   16.2065504 ],0.002448790032853917,89.1697878991799,[-198.55857209 -100.65196564 -168.85362785   14.91976279],89.11000068260907,[-198.55895756 -100.65160783 -168.85243838   14.91979026],57.6612446308136,1,C2,2,115.3224892616272
22,11,0,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],0.0025852840559521828,89.10997729728118,[-198.55896479 -100.65160296 -168.85242484   14.91979027],89.10997729728118,[-198.55896479 -100.65160296 -168.85242484   14.91979027],59.24023199081421,1,C2,2,118.48046398162842
23,11,1,10032.58491712145,1.0,0.0,[-276.41903244  -61.57066948 -233.28261965   11.90873761],0.002448790034299924,89.1697889157213,[-198.55857129 -100.65196688 -168.85362829   14.91976279],89.10997729728118,[-198.55896479 -100.65160296 -168.85242484   14.91979027],61.34183621406555,1,C2,2,122.6836724281311
