,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,1585612.9125731133,1.0,0.0,[ 3.83428063e-03  6.27521006e-01 -8.88530671e+00 -5.27689120e-01],-5930002949.112016,11129297.89573929,[ 0.07881107 -1.81492323 -2.23079548 -1.38303345],11129297.89573929,[ 0.07881107 -1.81492323 -2.23079548 -1.38303345],0.5569562911987305,1,A1,2,1.113912582397461
1,0,1,1585612.9125731133,1.0,0.0,[ 0.74134817  0.41603154 -9.1816184   1.36349927],-585915385.2934434,2134720.0792110804,[-0.74898204 -2.         -5.48566188  0.24822164],2134720.0792110804,[-0.74898204 -2.         -5.48566188  0.24822164],0.24079608917236328,1,A1,2,0.48159217834472656
2,1,0,1585612.9125731133,1.0,0.0,[-0.08102744 -1.23417947 -6.38591732  0.38037031],-4454746260.213193,3045204.5979250157,[-1.47748042 -0.63442695 -5.59512922 -0.50506604],3045204.5979250157,[-1.47748042 -0.63442695 -5.59512922 -0.50506604],0.39041924476623535,1,A1,2,0.7808384895324707
3,1,1,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],224.1302562590117,97476540481.71124,[ -2.  -2. -10.   2.],3045204.5979250157,[-1.47748042 -0.63442695 -5.59512922 -0.50506604],0.35642409324645996,1,A1,2,0.7128481864929199
4,2,0,1585612.9125731133,1.0,0.0,[ 0.20038588 -0.82432155 -9.81421687  1.89268099],4.468477295261774e-05,17355569967.959446,[-2.  2.  0. -2.],17355569967.959446,[-2.  2.  0. -2.],0.18968605995178223,1,A1,2,0.37937211990356445
5,2,1,1585612.9125731133,1.0,0.0,[ 0.74134817  0.41603154 -9.1816184   1.36349927],4.4684767429619853e-05,17355569967.959446,[-2.  2.  0. -2.],17355569967.959446,[-2.  2.  0. -2.],0.17836403846740723,1,A1,2,0.35672807693481445
6,3,0,1585612.9125731133,1.0,0.0,[ 0.20038588 -0.82432155 -9.81421687  1.89268099],-3786534013.47544,3195895.679756349,[ 0.08521927 -1.69214866 -8.1820074  -0.54020519],3195895.679756349,[ 0.08521927 -1.69214866 -8.1820074  -0.54020519],0.2197434902191162,1,A1,2,0.4394869804382324
7,3,1,1585612.9125731133,1.0,0.0,[-0.62740484 -0.20070918 -3.66143022  1.42800906],-32518915.989054516,23722108.083132163,[-0.10403332 -2.         -1.81995991 -0.62625587],3195895.679756349,[ 0.08521927 -1.69214866 -8.1820074  -0.54020519],0.26366758346557617,1,A1,2,0.5273351669311523
8,4,0,1585612.9125731133,1.0,0.0,[ 0.20038588 -0.82432155 -9.81421687  1.89268099],0.0,2231182.539775176,[-0.31647361  0.24813713 -3.74718021  0.33477378],2231182.539775176,[-0.31647361  0.24813713 -3.74718021  0.33477378],0.12721562385559082,1,A1,2,0.25443124771118164
9,4,1,1585612.9125731133,1.0,0.0,[-0.62740484 -0.20070918 -3.66143022  1.42800906],0.0,2127190912698202.5,[2. 2. 0. 2.],2231182.539775176,[-0.31647361  0.24813713 -3.74718021  0.33477378],0.13994050025939941,1,A1,2,0.27988100051879883
10,5,0,1585612.9125731133,1.0,0.0,[ 0.20038588 -0.82432155 -9.81421687  1.89268099],0.0,9975402.077472122,[ 0.43000541 -0.20186768 -5.1256563   0.03076325],9975402.077472122,[ 0.43000541 -0.20186768 -5.1256563   0.03076325],0.08658313751220703,1,A1,2,0.17316627502441406
11,5,1,1585612.9125731133,1.0,0.0,[-1.10395929 -0.75285893 -2.61483397 -0.30623496],0.0,2127190912698202.5,[2. 2. 0. 2.],9975402.077472122,[ 0.43000541 -0.20186768 -5.1256563   0.03076325],0.064422607421875,1,A1,2,0.12884521484375
12,6,0,1585612.9125731133,1.0,0.0,[-0.08102744 -1.23417947 -6.38591732  0.38037031],-4452673617.428758,3042714.003020327,[-1.47503647 -0.63442412 -5.62129774 -0.49807372],3042714.003020327,[-1.47503647 -0.63442412 -5.62129774 -0.49807372],0.1407761573791504,1,A1,2,0.2815523147583008
13,6,1,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],226.9145152372774,2126885381374189.8,[ 2.         -2.         -0.3008638  -0.62623133],3042714.003020327,[-1.47503647 -0.63442412 -5.62129774 -0.49807372],0.10185027122497559,1,A1,2,0.20370054244995117
14,7,0,1585612.9125731133,1.0,0.0,[ 1.8839348   1.40300746 -0.62901715  0.98841344],0.0,2127190912698202.5,[2. 2. 0. 2.],2127190912698202.5,[2. 2. 0. 2.],0.07027792930603027,1,A1,2,0.14055585861206055
