,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.4752318859100342,1,B1,3,1.4256956577301025
1,0,1,14.276481586175757,1.0,0.0,[-0.62740484 -0.20070918 -3.66143022  1.42800906],11.344540376781438,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.27916646003723145,1,B1,3,0.8374993801116943
2,0,2,14.276481586175757,1.0,2.9955167372616083e-62,[-1.2375147   0.56832618 -6.17283426  0.28214281],11.344355603631488,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.3922586441040039,1,B1,3,1.1767759323120117
3,1,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.37298583984375,1,B1,3,1.11895751953125
4,1,1,14.276481586175757,1.0,0.0,[-1.10395929 -0.75285893 -2.61483397 -0.30623496],11.344538141264415,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.4727187156677246,1,B1,3,1.4181561470031738
5,1,2,14.276481586175757,1.0,0.0,[ 0.38659583  0.0596887  -0.30086381 -0.62623133],11.344447146683137,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.331618070602417,1,B1,3,0.994854211807251
6,2,0,14.276481586175757,1.0,2.8166884776075936,[ -0.77095784  -2.         -10.           0.26941716],11.183428895647861,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2. -2.  0. -2.],0.364473819732666,1,B1,3,1.093421459197998
7,2,1,14.276481586175757,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],10.828299829907678,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2. -2.  0. -2.],0.28055572509765625,1,B1,3,0.8416671752929688
8,2,2,14.276481586175757,1.0,0.0,[-0.88398815  0.14905041 -9.62772222  1.62469698],10.827841010200316,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2. -2.  0. -2.],0.42245984077453613,1,B1,3,1.2673795223236084
9,3,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.35848259925842285,1,B1,3,1.0754477977752686
10,3,1,14.276481586175757,1.0,0.0,[ 0.74134817  0.41603154 -9.1816184   1.36349927],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.23185348510742188,1,B1,3,0.6955604553222656
11,3,2,14.276481586175757,1.0,0.0,[ 0.9346134  -0.14312267 -6.71683013 -1.46321351],11.344594880116297,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.220292329788208,1,B1,3,0.660876989364624
12,4,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.3126368522644043,1,B1,3,0.9379105567932129
13,4,1,14.276481586175757,1.0,0.0,[ 0.74134817  0.41603154 -9.1816184   1.36349927],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.1935884952545166,1,B1,3,0.5807654857635498
14,4,2,14.276481586175757,1.0,0.0,[ 0.9346134  -0.14312267 -6.71683013 -1.46321351],11.344594880116297,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.21245956420898438,1,B1,3,0.6373786926269531
15,5,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.3064870834350586,1,B1,3,0.9194612503051758
16,5,1,14.276481586175757,1.0,0.0,[ 1.21052841  1.05772831 -1.39737552 -1.50244907],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.21408987045288086,1,B1,3,0.6422696113586426
17,5,2,14.276481586175757,1.0,0.0,[ 0.8852078  -0.08196267 -5.42082173  1.52129031],11.345192221405066,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.19468975067138672,1,B1,3,0.5840692520141602
18,6,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.2844810485839844,1,B1,3,0.8534431457519531
19,6,1,14.276481586175757,1.0,0.0,[-1.10395929 -0.75285893 -2.61483397 -0.30623496],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.1923046112060547,1,B1,3,0.5769138336181641
20,6,2,14.276481586175757,1.0,0.0,[ 0.38659583  0.0596887  -0.30086381 -0.62623133],11.344449673648603,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.19384527206420898,1,B1,3,0.581535816192627
21,7,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.28236889839172363,1,B1,3,0.8471066951751709
22,7,1,14.276481586175757,1.0,1.973754686926725e-107,[-0.75188752 -2.         -5.92929148  0.18266563],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.19177627563476562,1,B1,3,0.5753288269042969
23,7,2,14.276481586175757,1.0,0.0,[ 0.74134817  0.41603154 -9.1816184   1.36349927],11.344215561055517,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.1663527488708496,1,B1,3,0.49905824661254883
24,8,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.31824779510498047,1,B1,3,0.9547433853149414
25,8,1,14.276481586175757,1.0,0.0,[ 1.21052841  1.05772831 -1.39737552 -1.50244907],11.344536113352579,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.22742557525634766,1,B1,3,0.682276725769043
26,8,2,14.276481586175757,1.0,0.0,[ 0.8852078  -0.08196267 -5.42082173  1.52129031],11.345192221405066,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.20345187187194824,1,B1,3,0.6103556156158447
27,9,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.2808980941772461,1,B1,3,0.8426942825317383
28,9,1,14.276481586175757,1.0,0.0,[-0.62740484 -0.20070918 -3.66143022  1.42800906],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.19361448287963867,1,B1,3,0.580843448638916
29,9,2,14.276481586175757,1.0,2.9955217367370976e-62,[-1.2375147   0.56832618 -6.17283426  0.28214281],11.344354622602394,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.1650102138519287,1,B1,3,0.49503064155578613
30,10,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.3621375560760498,1,B1,3,1.0864126682281494
31,10,1,14.276481586175757,1.0,0.0,[ 1.21052841  1.05772831 -1.39737552 -1.50244907],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.28136157989501953,1,B1,3,0.8440847396850586
32,10,2,14.276481586175757,1.0,0.0,[ 0.8852078  -0.08196267 -5.42082173  1.52129031],11.345192221405066,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.26140499114990234,1,B1,3,0.784214973449707
33,11,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.41324567794799805,1,B1,3,1.2397370338439941
34,11,1,14.276481586175757,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.4039018154144287,1,B1,3,1.2117054462432861
35,11,2,14.276481586175757,1.0,0.0,[-0.88398815  0.14905041 -9.62772222  1.62469698],11.344561396980243,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.4442284107208252,1,B1,3,1.3326852321624756
36,12,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.4388465881347656,1,B1,3,1.3165397644042969
37,12,1,14.276481586175757,1.0,0.0,[ 0.74134817  0.41603154 -9.1816184   1.36349927],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.23674321174621582,1,B1,3,0.7102296352386475
38,12,2,14.276481586175757,1.0,0.0,[ 0.9346134  -0.14312267 -6.71683013 -1.46321351],11.344594880116297,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.27764177322387695,1,B1,3,0.8329253196716309
39,13,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.31722378730773926,1,B1,3,0.9516713619232178
40,13,1,14.276481586175757,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.22739791870117188,1,B1,3,0.6821937561035156
41,13,2,14.276481586175757,1.0,0.0,[-0.88398815  0.14905041 -9.62772222  1.62469698],11.344561396980243,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.20813369750976562,1,B1,3,0.6244010925292969
42,14,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.4620344638824463,1,B1,3,1.3861033916473389
43,14,1,14.276481586175757,1.0,0.0,[-0.62740484 -0.20070918 -3.66143022  1.42800906],11.344534550610668,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.3155019283294678,1,B1,3,0.9465057849884033
44,14,2,14.276481586175757,1.0,2.9955217367370976e-62,[-1.2375147   0.56832618 -6.17283426  0.28214281],11.344354622602394,23.565406518158824,[-2. -2.  0. -2.],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.3235318660736084,1,B1,3,0.9705955982208252
