,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,1585612.9125731133,1.0,0.0,[-0.53762385 -1.54209214 -3.91624606  1.1544071 ],1624329.8846461873,1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],33.02506113052368,1,C2,2,66.05012226104736
1,0,1,1585612.9125731133,1.0,0.0,[-1.52838065  0.76858661 -8.32826196 -0.15766997],2992196.77461324,3017244.396136995,[-1.52837437  0.76858669 -8.32824715 -0.15766997],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],34.748549461364746,1,C2,2,69.49709892272949
2,1,0,1585612.9125731133,1.0,0.0,[-1.2375147   0.56832618 -6.17283426  0.28214281],1624329.5027572783,1624066.832910477,[-0.08102744 -1.23416425 -6.38591699  0.38037535],1624066.832910477,[-0.08102744 -1.23416425 -6.38591699  0.38037535],31.618908166885376,1,C2,2,63.23781633377075
3,1,1,1585612.9125731133,1.0,0.0,[ 0.11687252 -1.40627179 -4.95637195 -0.01645073],371561.47282633476,3016148.66865936,[-1.52458977  0.76990964 -8.31931412 -0.15535178],1624066.832910477,[-0.08102744 -1.23416425 -6.38591699  0.38037535],24.474777698516846,1,C2,2,48.94955539703369
4,2,0,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],1624335.0438142973,1624091.4649153058,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4649153058,[-0.08102744 -1.23417947 -6.38591732  0.38037031],34.333866119384766,1,C2,2,68.66773223876953
5,2,1,1585612.9125731133,1.0,0.0,[-1.52838065  0.76858661 -8.32826196 -0.15766997],2989647.970867885,3016981.3010055814,[-1.52835757  0.76889171 -8.32826196 -0.15713538],1624091.4649153058,[-0.08102744 -1.23417947 -6.38591732  0.38037031],34.36654210090637,1,C2,2,68.73308420181274
6,3,0,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],1624335.2658616551,1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],12.509374856948853,1,C2,2,25.018749713897705
7,3,1,1585612.9125731133,1.0,0.0,[ 0.20038588 -0.82432155 -9.81421687  1.89268099],2989746.0644316496,3017242.1387359523,[-1.52837425  0.7685889  -8.32826196 -0.15766575],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],13.601925373077393,1,C2,2,27.203850746154785
8,4,0,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],1624330.1128831792,1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],17.274538278579712,1,C2,2,34.549076557159424
9,4,1,1585612.9125731133,1.0,0.0,[ 0.20038588 -0.82432155 -9.81421687  1.89268099],2992257.273560909,3017244.285723818,[-1.52837279  0.76858661 -8.32826196 -0.15766997],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],21.974953651428223,1,C2,2,43.949907302856445
10,5,0,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],1624329.8846198884,1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],20.841094255447388,1,C2,2,41.682188510894775
11,5,1,1585612.9125731133,1.0,0.0,[ 1.8839348   1.40300746 -0.62901715  0.98841344],2992196.7957914723,3017251.2600931763,[-1.52834535  0.76859893 -8.32826232 -0.15766997],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],20.067108869552612,1,C2,2,40.134217739105225
12,6,0,1585612.9125731133,1.0,0.0,[-1.2375147   0.56832618 -6.17283426  0.28214281],1624335.2658616551,1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],17.0168719291687,1,C2,2,34.0337438583374
13,6,1,1585612.9125731133,1.0,0.0,[ 0.11687252 -1.40627179 -4.95637195 -0.01645073],2989746.0644316496,3017242.1387359523,[-1.52837425  0.7685889  -8.32826196 -0.15766575],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],17.593278169631958,1,C2,2,35.186556339263916
14,7,0,1585612.9125731133,1.0,0.0,[-0.40770838  0.95115508 -3.05320775 -1.11326963],1624335.043718943,1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],27.885701417922974,1,C2,2,55.77140283584595
15,7,1,1585612.9125731133,1.0,0.0,[ 1.21052841  1.05772831 -1.39737552 -1.50244907],2989647.9335276634,3017246.2914682,[-1.52836076  0.76859355 -8.32826196 -0.15766761],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],29.323155641555786,1,C2,2,58.64631128311157
16,8,0,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],1624329.8845601978,1624091.4648864332,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648864332,[-0.08102744 -1.23417947 -6.38591732  0.38037031],26.15193486213684,1,C2,2,52.30386972427368
17,8,1,1585612.9125731133,1.0,0.0,[ 1.8839348   1.40300746 -0.62901715  0.98841344],2992196.807027022,3017889.2366897822,[-1.52838065  0.76967054 -8.32093127 -0.15766997],1624091.4648864332,[-0.08102744 -1.23417947 -6.38591732  0.38037031],27.610679626464844,1,C2,2,55.22135925292969
18,9,0,1585612.9125731133,1.0,0.0,[-0.53762385 -1.54209214 -3.91624606  1.1544071 ],1624335.2658616551,1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],15.066071271896362,1,C2,2,30.132142543792725
19,9,1,1585612.9125731133,1.0,0.0,[-1.52838065  0.76858661 -8.32826196 -0.15766997],2989746.0644316496,3017242.1387359523,[-1.52837425  0.7685889  -8.32826196 -0.15766575],1624091.4648880535,[-0.08102744 -1.23417947 -6.38591732  0.38037031],15.778145790100098,1,C2,2,31.556291580200195
20,10,0,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],10712.17293298678,97463082506.49384,[-0.48563496  1.05606739 -7.8261614   2.        ],97463082506.49384,[-0.48563496  1.05606739 -7.8261614   2.        ],61.314512491226196,1,C2,2,122.62902498245239
21,10,1,1585612.9125731133,1.0,0.0,[ 1.8839348   1.40300746 -0.62901715  0.98841344],46985.02715117059,1534814.07340636,[-0.12006839  1.25683518 -7.33703013  0.58897809],1534814.07340636,[-0.12006839  1.25683518 -7.33703013  0.58897809],53.8038170337677,1,C2,2,107.6076340675354
22,11,0,1585612.9125731133,1.0,0.0,[-1.7855227   1.51387165 -5.21913427 -0.84719097],37813.86214914376,2934574.5991750117,[-0.84311111 -0.48491499 -4.03335833 -0.00776669],2934574.5991750117,[-0.84311111 -0.48491499 -4.03335833 -0.00776669],83.22713327407837,1,C2,2,166.45426654815674
23,11,1,1585612.9125731133,1.0,0.0,[-1.52838065  0.76858661 -8.32826196 -0.15766997],62278.41963377532,1277786.6831201324,[-0.07360961  0.94485007 -7.99519077  0.50316764],1277786.6831201324,[-0.07360961  0.94485007 -7.99519077  0.50316764],86.5756721496582,1,C2,2,173.1513442993164
