,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,112844.02253149835,1.0,0.0,[-0.53762385 -1.54209214  1.21675079  1.1544071 ],2174446.2570900153,2196740.5644575898,[-0.88366652  0.14925683  0.0744971   1.62469698],2196740.5644575898,[-0.88366652  0.14925683  0.0744971   1.62469698],29.15815019607544,1,C2,2,58.31630039215088
1,0,1,112844.02253149835,1.0,0.0,[-1.52838065  0.76858661  0.33434761 -0.15766997],1750739.8646718755,1750637.7518994082,[ 0.8852078  -0.08196267  0.91583565  1.52129031],1750637.7518994082,[ 0.8852078  -0.08196267  0.91583565  1.52129031],29.123260736465454,1,C2,2,58.24652147293091
2,1,0,112844.02253149835,1.0,0.0,[-1.2375147   0.56832618  0.76543315  0.28214281],2175127.5254907412,2196395.8691314477,[-0.88239245  0.14914639  0.07552096  1.62469698],2196395.8691314477,[-0.88239245  0.14914639  0.07552096  1.62469698],15.616984128952026,1,C2,2,31.233968257904053
3,1,1,112844.02253149835,1.0,0.0,[ 0.11687252 -1.40627179  1.00872561 -0.01645073],1750741.6841530371,1750637.751908664,[ 0.8852078  -0.08196267  0.91583565  1.52129031],1750637.751908664,[ 0.8852078  -0.08196267  0.91583565  1.52129031],16.48438787460327,1,C2,2,32.96877574920654
4,2,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],61284.49314864268,122352.75267739248,[-1.20429946  2.          0.82065668  0.94690502],122352.75267739248,[-1.20429946  2.          0.82065668  0.94690502],53.60550332069397,1,C2,4,214.42201328277588
5,2,1,112844.02253149835,1.0,83853537330.58008,[1.71135982 2.         0.83891191 0.9480344 ],61653.9032205627,136341.43039649318,[1.16590892 2.         0.8388567  0.94803893],122352.75267739248,[-1.20429946  2.          0.82065668  0.94690502],80.27771592140198,1,C2,4,321.1108636856079
6,2,2,103548.15486554863,1.0,0.0,[0.74134817 0.41603154 0.16367632 1.36349927],53638.38936009189,149991.34665625595,[-2.          0.81820882  0.02492195  0.95563921],122352.75267739248,[-1.20429946  2.          0.82065668  0.94690502],74.17124915122986,1,C2,4,296.68499660491943
7,2,3,103548.15486554863,1.0,0.0,[-1.06413282 -0.98526328  1.12035295  1.07399026],58358.5361391135,190357.4341697815,[ 1.37099659 -0.25670883  0.          0.957585  ],122352.75267739248,[-1.20429946  2.          0.82065668  0.94690502],73.0915093421936,1,C2,4,292.3660373687744
8,3,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],2173632.2953610634,2196820.241190496,[-0.88398495  0.14905248  0.0744577   1.62469751],2196820.241190496,[-0.88398495  0.14905248  0.0744577   1.62469751],11.202441453933716,1,C2,2,22.40488290786743
9,3,1,112844.02253149835,1.0,0.0,[ 0.20038588 -0.82432155  0.03715663  1.89268099],1750738.0719946697,1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],11.572023153305054,1,C2,2,23.144046306610107
10,4,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],59483.32696120586,93845.26338640341,[-2.          0.26443037  2.          0.95512223],93845.26338640341,[-2.          0.26443037  2.          0.95512223],45.613606691360474,1,C2,4,182.4544267654419
11,4,1,112844.02253149835,1.0,27921482.910408407,[1.88393485 1.4030076  1.87419663 0.98841367],62353.31823911858,105134.17159943614,[ 1.82551097 -0.06312414  0.92377574  0.92554691],93845.26338640341,[-2.          0.26443037  2.          0.95512223],65.09255886077881,1,C2,4,260.37023544311523
12,4,2,112838.34233679133,1.0,0.0,[-0.62740484 -0.20070918  1.26771396  1.42800906],56777.10791745302,125022.5235211319,[-2.          0.26704428  2.          0.94293406],93845.26338640341,[-2.          0.26443037  2.          0.95512223],54.58367443084717,1,C2,4,218.33469772338867
13,4,3,112838.34233679133,1.0,0.0,[ 1.102831    1.32253359  1.7604433  -1.67592685],62352.44963782765,113677.01335780034,[1.82552655 0.44213054 0.92366684 0.92554345],93845.26338640341,[-2.          0.26443037  2.          0.95512223],66.64677405357361,1,C2,4,266.58709621429443
14,5,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],2174446.2079053065,2196815.1795194335,[-0.8839774   0.14905731  0.07445556  1.62469698],2196815.1795194335,[-0.8839774   0.14905731  0.07445556  1.62469698],24.06814169883728,1,C2,2,48.13628339767456
15,5,1,112844.02253149835,1.0,0.0,[1.8839348  1.40300746 1.87419657 0.98841344],1750739.8644419538,1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],23.543939352035522,1,C2,2,47.087878704071045
16,6,0,112844.02253149835,1.0,0.0,[-1.2375147   0.56832618  0.76543315  0.28214281],2173632.2953610634,2196820.241190496,[-0.88398495  0.14905248  0.0744577   1.62469751],2196820.241190496,[-0.88398495  0.14905248  0.0744577   1.62469751],19.426393032073975,1,C2,2,38.85278606414795
17,6,1,112844.02253149835,1.0,0.0,[ 0.11687252 -1.40627179  1.00872561 -0.01645073],1750738.0719946697,1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],20.35977292060852,1,C2,2,40.71954584121704
18,7,0,112844.02253149835,1.0,0.0,[-0.40770838  0.95115508  1.38935845 -1.11326963],2173632.2953610634,2196820.241190496,[-0.88398495  0.14905248  0.0744577   1.62469751],2196820.241190496,[-0.88398495  0.14905248  0.0744577   1.62469751],11.405853271484375,1,C2,2,22.81170654296875
19,7,1,112844.02253149835,1.0,0.0,[ 1.21052841  1.05772831  1.7205249  -1.50244907],1750738.0719946697,1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],1750637.7518977656,[ 0.8852078  -0.08196267  0.91583565  1.52129031],10.619913101196289,1,C2,2,21.239826202392578
20,8,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],50743.69285488196,173191.4746925574,[-2.          0.85058123  0.          0.94614885],173191.4746925574,[-2.          0.85058123  0.          0.94614885],76.5055034160614,1,C2,2,153.0110068321228
21,8,1,112844.02253149835,1.0,0.0,[1.8839348  1.40300746 1.87419657 0.98841344],1750739.864682857,1750637.7518969427,[ 0.8852078  -0.08196267  0.91583565  1.52129031],173191.4746925574,[-2.          0.85058123  0.          0.94614885],24.9259192943573,1,C2,2,49.8518385887146
22,9,0,112844.02253149835,1.0,0.0,[-0.53762385 -1.54209214  1.21675079  1.1544071 ],62255.12924442008,83483772.22265847,[1.8423786  1.426632   1.89505792 0.38037031],83483772.22265847,[1.8423786  1.426632   1.89505792 0.38037031],46.46653485298157,1,C2,2,92.93306970596313
23,9,1,112844.02253149835,1.0,0.0,[-1.52838065  0.76858661  0.33434761 -0.15766997],69448.22696942462,12310293727.475897,[-1.99020816  1.98342722  1.88752019 -0.22032415],83483772.22265847,[1.8423786  1.426632   1.89505792 0.38037031],59.06025981903076,1,C2,2,118.12051963806152
24,10,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],68844.36839252553,6424533.255792491,[ 1.82579482 -1.26224079  1.90237933  1.86764345],6424533.255792491,[ 1.82579482 -1.26224079  1.90237933  1.86764345],30.542979955673218,1,C2,2,61.085959911346436
25,10,1,112844.02253149835,1.0,0.0,[1.8839348  1.40300746 1.87419657 0.98841344],69916.41210069625,5471071.661347359,[-1.99088858  1.9834327   1.88749151  1.84463853],5471071.661347359,[-1.99088858  1.9834327   1.88749151  1.84463853],38.667014837265015,1,C2,2,77.33402967453003
26,11,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],86425.15432406035,183323.9019958523,[-0.90639458  0.14905038  0.06042416  0.94155933],183323.9019958523,[-0.90639458  0.14905038  0.06042416  0.94155933],46.825382232666016,1,C2,4,187.30152893066406
27,11,1,112844.02253149835,1.0,43277040933.65234,[1.82304152 1.34965421 1.87616894 0.94156022],86425.65556076352,188719.1836384129,[-0.49086552  1.02250735  1.472987    0.94155971],183323.9019958523,[-0.90639458  0.14905038  0.06042416  0.94155933],51.228991746902466,1,C2,4,204.91596698760986
28,11,2,103361.25600242485,1.0,0.0,[0.74134817 0.41603154 0.16367632 1.36349927],98105.41052686094,149049.95211188658,[-0.88398815  0.14905041  0.0606889   0.95449818],149049.95211188658,[-0.88398815  0.14905041  0.0606889   0.95449818],48.75407862663269,1,C2,4,195.01631450653076
29,11,3,103361.25600242485,1.0,0.0,[-1.06413282 -0.98526328  1.12035295  1.07399026],98104.598197976,89394.95429976331,[-0.24137514  0.9184222   1.47946642  0.95449895],89394.95429976331,[-0.24137514  0.9184222   1.47946642  0.95449895],50.827117681503296,1,C2,4,203.30847072601318
