,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,22533.63623687708,1.0,0.0,"[  0.93079923  -0.44937197  -0.9257486   -1.21499078 -11.95347446
  -8.36667245  -8.4091521    1.46425659]",0.0,1884390798277979.0,"[  1.99475026   0.87274447  -6.3444787    0.90655909 -11.61478149
 -12.94915534  -8.36635461   1.80883566]",1884390798277979.0,"[  1.99475026   0.87274447  -6.3444787    0.90655909 -11.61478149
 -12.94915534  -8.36635461   1.80883566]",0.2941563129425049,1,A1,2,0.5883126258850098
1,0,1,22533.63623687708,1.0,0.0,"[  0.58580968   0.53429331  -2.41413098   0.27116501 -11.49292249
 -12.69366603  -0.72389174  -0.76597257]",0.0,923303140.4659939,"[  0.83959526  -0.91738526  -7.932126     0.36756555 -14.81377757
  -6.98556932  -6.76386083   0.21379493]",923303140.4659939,"[  0.83959526  -0.91738526  -7.932126     0.36756555 -14.81377757
  -6.98556932  -6.76386083   0.21379493]",0.1446065902709961,1,A1,2,0.2892131805419922
2,1,0,22533.63623687708,1.0,0.0,"[  1.5931405    1.02220095  -0.44670542  -0.75657968 -18.6790135
 -11.88913487  -1.92789775   1.02809443]",0.0,524084924.3131052,"[ 0.77635306 -1.08667559 -6.50943579 -0.92529671 -8.27118845 -5.66648744
 -8.12261531  1.53075359]",524084924.3131052,"[ 0.77635306 -1.08667559 -6.50943579 -0.92529671 -8.27118845 -5.66648744
 -8.12261531  1.53075359]",0.1587996482849121,1,A1,2,0.3175992965698242
3,1,1,22533.63623687708,1.0,0.0,"[-1.02932592  0.15801577 -1.5908092  -0.86825036 -4.61209908 -6.09192489
 -8.01371683  1.27987844]",0.0,1816814418.3992665,"[ -1.54939705   0.12338274  -3.24095553   1.55927902 -11.36906422
 -10.39120871  -4.03500308   0.44895555]",524084924.3131052,"[ 0.77635306 -1.08667559 -6.50943579 -0.92529671 -8.27118845 -5.66648744
 -8.12261531  1.53075359]",0.15221476554870605,1,A1,2,0.3044295310974121
4,2,0,22533.63623687708,1.0,0.0,"[-0.72511501 -0.20188076 -7.88780516 -1.32619617 -0.21400208 -9.10815864
 -6.87546617  1.20453863]",0.0,21126831758.779034,"[ -0.27287124  -1.35161394  -4.6897828    1.72164469  -9.05662146
 -12.50811771  -7.94366284   1.06322236]",21126831758.779034,"[ -0.27287124  -1.35161394  -4.6897828    1.72164469  -9.05662146
 -12.50811771  -7.94366284   1.06322236]",0.14270901679992676,1,A1,2,0.2854180335998535
5,2,1,22533.63623687708,1.0,0.0,"[  0.29579976   0.5843675   -1.03190155  -1.18730504 -12.08976496
  -2.27179706  -0.79630526   0.52524388]",0.0,708924292.0073745,"[ 0.14996515 -0.70133481 -5.51285979  1.64810071 -5.34242622 -9.00684962
 -8.60706729 -0.51483811]",708924292.0073745,"[ 0.14996515 -0.70133481 -5.51285979  1.64810071 -5.34242622 -9.00684962
 -8.60706729 -0.51483811]",0.148512601852417,1,A1,2,0.297025203704834
6,3,0,22533.63623687708,1.0,0.0,"[ -1.30612628  -0.54829141  -0.33641193  -1.59165175 -15.08936519
 -17.73622398  -5.60155589   0.12576852]",0.0,1090038608285137.9,"[  1.93772324   0.42875049  -6.10859829   1.54796411  -7.24793484
 -14.00939297  -4.34378066  -0.55787485]",1090038608285137.9,"[  1.93772324   0.42875049  -6.10859829   1.54796411  -7.24793484
 -14.00939297  -4.34378066  -0.55787485]",0.14843368530273438,1,A1,2,0.29686737060546875
7,3,1,22533.63623687708,1.0,0.0,"[ -1.18585107  -0.06600611  -1.46170196  -0.92692972 -19.22193321
  -6.93334129  -0.30098984   0.29431589]",0.0,36034345990.74921,"[  1.11252643   1.2891512   -6.8943508    1.60766879 -11.09791402
 -15.53542574  -4.30211992   0.77466427]",36034345990.74921,"[  1.11252643   1.2891512   -6.8943508    1.60766879 -11.09791402
 -15.53542574  -4.30211992   0.77466427]",0.14790105819702148,1,A1,2,0.29580211639404297
8,4,0,22533.63623687708,1.0,0.0,"[ -1.30612628  -0.54829141  -0.33641193  -1.59165175 -15.08936519
 -17.73622398  -5.60155589   0.12576852]",0.0,1090038608285137.9,"[  1.93772324   0.42875049  -6.10859829   1.54796411  -7.24793484
 -14.00939297  -4.34378066  -0.55787485]",1090038608285137.9,"[  1.93772324   0.42875049  -6.10859829   1.54796411  -7.24793484
 -14.00939297  -4.34378066  -0.55787485]",0.14772820472717285,1,A1,2,0.2954564094543457
9,4,1,22533.63623687708,1.0,0.0,"[ -1.18585107  -0.06600611  -1.46170196  -0.92692972 -19.22193321
  -6.93334129  -0.30098984   0.29431589]",0.0,36034345990.74921,"[  1.11252643   1.2891512   -6.8943508    1.60766879 -11.09791402
 -15.53542574  -4.30211992   0.77466427]",36034345990.74921,"[  1.11252643   1.2891512   -6.8943508    1.60766879 -11.09791402
 -15.53542574  -4.30211992   0.77466427]",0.1565699577331543,1,A1,2,0.3131399154663086
10,5,0,22533.63623687708,1.0,0.0,"[  1.63049627   1.35126536  -9.32815769  -1.03468114  -1.63038128
 -12.07724205  -6.67444455  -0.13528503]",0.0,9970178290574880.0,"[  0.90600764   1.92191758  -3.96311918   1.82673997 -10.33568087
  -0.54069236  -1.18841616   1.39725537]",9970178290574880.0,"[  0.90600764   1.92191758  -3.96311918   1.82673997 -10.33568087
  -0.54069236  -1.18841616   1.39725537]",0.14881563186645508,1,A1,2,0.29763126373291016
11,5,1,22533.63623687708,1.0,0.0,"[-1.73627538 -1.17419207 -2.59842099 -0.96798368 -5.38558965 -0.34207149
 -9.35826866  1.89069433]",0.0,297280801596.20874,"[  0.11044619  -0.35352771  -1.68280865   1.95783469  -7.62541445
 -14.53959051  -7.31472926   1.42215503]",297280801596.20874,"[  0.11044619  -0.35352771  -1.68280865   1.95783469  -7.62541445
 -14.53959051  -7.31472926   1.42215503]",0.14684081077575684,1,A1,2,0.29368162155151367
12,6,0,22533.63623687708,1.0,0.0,"[  1.5931405    1.02220095  -0.44670542  -0.75657968 -18.6790135
 -11.88913487  -1.92789775   1.02809443]",0.0,524084924.3131052,"[ 0.77635306 -1.08667559 -6.50943579 -0.92529671 -8.27118845 -5.66648744
 -8.12261531  1.53075359]",524084924.3131052,"[ 0.77635306 -1.08667559 -6.50943579 -0.92529671 -8.27118845 -5.66648744
 -8.12261531  1.53075359]",0.15184378623962402,1,A1,2,0.30368757247924805
13,6,1,22533.63623687708,1.0,0.0,"[-1.02932592  0.15801577 -1.5908092  -0.86825036 -4.61209908 -6.09192489
 -8.01371683  1.27987844]",0.0,1816814418.3992665,"[ -1.54939705   0.12338274  -3.24095553   1.55927902 -11.36906422
 -10.39120871  -4.03500308   0.44895555]",524084924.3131052,"[ 0.77635306 -1.08667559 -6.50943579 -0.92529671 -8.27118845 -5.66648744
 -8.12261531  1.53075359]",0.1521143913269043,1,A1,2,0.3042287826538086
14,7,0,22533.63623687708,1.0,0.0,"[ 0.98523829  1.75765008 -3.51555754  0.21332048 -2.54695619 -7.59812294
 -6.40398748  0.88095395]",0.0,3.2483891152220083e+21,"[ -0.83198745   0.16347241  -1.29934561  -0.60182541 -17.08688589
  -6.16323084  -0.26755785   0.29431589]",3.2483891152220083e+21,"[ -0.83198745   0.16347241  -1.29934561  -0.60182541 -17.08688589
  -6.16323084  -0.26755785   0.29431589]",0.15239572525024414,1,A1,2,0.3047914505004883
15,7,1,22533.63623687708,1.0,0.0,"[ -1.5248296   -1.91032432  -1.30429974  -1.79354282 -19.84593387
  -9.87599631  -8.8662803   -0.67123005]",0.0,3.119457583741795e+20,"[ 1.05685364  1.02249654 -1.61002293  0.84701204 -7.66481556 -8.46561082
 -0.48277509 -0.76597257]",3.119457583741795e+20,"[ 1.05685364  1.02249654 -1.61002293  0.84701204 -7.66481556 -8.46561082
 -0.48277509 -0.76597257]",0.1514885425567627,1,A1,2,0.3029770851135254
16,8,0,22533.63623687708,1.0,0.0,"[  1.63049627   1.35126536  -9.32815769  -1.03468114  -1.63038128
 -12.07724205  -6.67444455  -0.13528503]",0.0,9970178290574880.0,"[  0.90600764   1.92191758  -3.96311918   1.82673997 -10.33568087
  -0.54069236  -1.18841616   1.39725537]",9970178290574880.0,"[  0.90600764   1.92191758  -3.96311918   1.82673997 -10.33568087
  -0.54069236  -1.18841616   1.39725537]",0.1532139778137207,1,A1,2,0.3064279556274414
17,8,1,22533.63623687708,1.0,0.0,"[-1.73627538 -1.17419207 -2.59842099 -0.96798368 -5.38558965 -0.34207149
 -9.35826866  1.89069433]",0.0,297280801596.20874,"[  0.11044619  -0.35352771  -1.68280865   1.95783469  -7.62541445
 -14.53959051  -7.31472926   1.42215503]",297280801596.20874,"[  0.11044619  -0.35352771  -1.68280865   1.95783469  -7.62541445
 -14.53959051  -7.31472926   1.42215503]",0.15124177932739258,1,A1,2,0.30248355865478516
18,9,0,22533.63623687708,1.0,0.0,"[  0.93079923  -0.44937197  -0.9257486   -1.21499078 -11.95347446
  -8.36667245  -8.4091521    1.46425659]",0.0,1884390798277979.0,"[  1.99475026   0.87274447  -6.3444787    0.90655909 -11.61478149
 -12.94915534  -8.36635461   1.80883566]",1884390798277979.0,"[  1.99475026   0.87274447  -6.3444787    0.90655909 -11.61478149
 -12.94915534  -8.36635461   1.80883566]",0.15063238143920898,1,A1,2,0.30126476287841797
19,9,1,22533.63623687708,1.0,0.0,"[  0.58580968   0.53429331  -2.41413098   0.27116501 -11.49292249
 -12.69366603  -0.72389174  -0.76597257]",0.0,923303140.4659939,"[  0.83959526  -0.91738526  -7.932126     0.36756555 -14.81377757
  -6.98556932  -6.76386083   0.21379493]",923303140.4659939,"[  0.83959526  -0.91738526  -7.932126     0.36756555 -14.81377757
  -6.98556932  -6.76386083   0.21379493]",0.15219831466674805,1,A1,2,0.3043966293334961
