,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
0,0,0,116372.13868484413,1.0,0.0,"[-1.57068479  1.71565935  1.73353388  1.26965495  1.86357208 -0.95653233
  0.8168387   0.05276477]",3079956.4135931204,1.450243363509444e+18,"[ 0.53680617 -0.89263164  2.          2.          2.          2.
  2.          2.        ]",1.450243363509444e+18,"[ 0.53680617 -0.89263164  2.          2.          2.          2.
  2.          2.        ]",112.7516655921936,1,C2,2,225.5033311843872
1,0,1,116372.13868484413,1.0,0.0,"[-0.36006016 -0.69941095  0.61208471 -0.11798935  0.61792432  0.58095092
  1.06546268 -1.12519015]",3079956.4135931204,1.4502433635091128e+18,"[ 2.         -1.99112291  2.          2.          2.          2.
  2.          2.        ]",1.4502433635091128e+18,"[ 2.         -1.99112291  2.          2.          2.          2.
  2.          2.        ]",101.46064114570618,1,C2,2,202.92128229141235
2,1,0,116372.13868484413,1.0,0.0,"[ 0.17643071  1.25641488 -1.30690181  0.1287885  -0.2267456   1.27818886
  1.23504929 -0.92494215]",3079956.4135931204,19422484.090805005,"[ 1.45632599 -1.30677605 -0.23959     0.36623269  2.          2.
  0.87080046 -0.58747304]",19422484.090805005,"[ 1.45632599 -1.30677605 -0.23959     0.36623269  2.          2.
  0.87080046 -0.58747304]",197.21263480186462,1,C2,2,394.42526960372925
3,1,1,116372.13868484413,1.0,0.0,"[-0.4618312  -0.25175317  0.81148955 -0.44751773 -0.81131239  1.99186743
  1.1663099   1.7958617 ]",3079956.4135931204,58841423.31952865,"[ 0.72744806 -0.74786472  1.95229243 -0.63982731  2.          2.
  1.6515312   2.        ]",19422484.090805005,"[ 1.45632599 -1.30677605 -0.23959     0.36623269  2.          2.
  0.87080046 -0.58747304]",169.03984212875366,1,C2,2,338.0796842575073
4,2,0,116372.13868484413,1.0,0.0,"[ 0.35948628  1.88291026 -0.37718346  1.74018516 -1.09980706  1.83783923
  1.64357831  1.1963405 ]",3079956.4135931204,3749110.5787085495,"[ 1.56797623  1.10923855 -1.07706134  0.69086564  0.8919674  -1.14849627
  1.85807586  0.09627647]",3749110.5787085495,"[ 1.56797623  1.10923855 -1.07706134  0.69086564  0.8919674  -1.14849627
  1.85807586  0.09627647]",69.53762555122375,1,C2,2,139.0752511024475
5,2,1,116372.13868484413,1.0,0.0,"[ 1.42513937  1.44098381  0.20892606  0.58315512  1.81553278 -1.66091778
  0.19121592 -1.86921222]",3079956.4135931204,69267674141.71033,"[ 1.84837    -0.06727011  0.86232434  1.34882784 -1.41648659  0.81057856
  1.51168787  0.98503815]",3749110.5787085495,"[ 1.56797623  1.10923855 -1.07706134  0.69086564  0.8919674  -1.14849627
  1.85807586  0.09627647]",69.06310987472534,1,C2,2,138.12621974945068
6,3,0,116372.13868484413,1.0,0.0,"[ 1.63049627  1.35126536 -1.73126307 -1.03468114  1.67392374 -0.41544841
  0.66511109 -0.84704671]",3079956.4135931204,131690.1215623381,"[ 0.06995894  1.55261779 -0.51324561 -0.30104134 -1.36443771  1.41096379
  1.58292839  0.26088014]",131690.1215623381,"[ 0.06995894  1.55261779 -0.51324561 -0.30104134 -1.36443771  1.41096379
  1.58292839  0.26088014]",115.8290433883667,1,C2,2,231.6580867767334
7,3,1,116372.13868484413,1.0,0.0,"[-0.84735779 -1.59808684 -1.38231184  0.8360616   0.16443155  1.23916153
  0.74194788  0.27291318]",3079956.4135931204,4398110.786517525,"[ 1.51461948  1.7204199   0.76041719  0.27990389 -1.59306333  0.91338196
  1.82331066  0.65713812]",131690.1215623381,"[ 0.06995894  1.55261779 -0.51324561 -0.30104134 -1.36443771  1.41096379
  1.58292839  0.26088014]",129.95494484901428,1,C2,2,259.90988969802856
8,4,0,116372.13868484413,1.0,0.0,"[ 1.63049627  1.35126536 -1.73126307 -1.03468114  1.67392374 -0.41544841
  0.66511109 -0.84704671]",227986.94163033157,3252030.8886415726,"[-0.84735779 -1.81467388 -1.2085679   0.38539822 -0.08381401  0.93632678
  0.74194788  0.47060078]",3252030.8886415726,"[-0.84735779 -1.81467388 -1.2085679   0.38539822 -0.08381401  0.93632678
  0.74194788  0.47060078]",1332.0759513378143,1,C2,2,2664.1519026756287
9,4,1,116372.13868484413,1.0,0.0,"[-0.84735779 -1.59808684 -1.38231184  0.8360616   0.16443155  1.23916153
  0.74194788  0.27291318]",64952.3153953614,362700.93832035456,"[ 0.72744804 -0.74786474  1.93613854 -0.96302729  1.11897948  0.69495523
  1.6515312   1.08686132]",362700.93832035456,"[ 0.72744804 -0.74786474  1.93613854 -0.96302729  1.11897948  0.69495523
  1.6515312   1.08686132]",1351.5526883602142,1,C2,2,2703.1053767204285
