,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
0,0,0,9.650632465771888,0.43690878795923815,21.031826249654188,[ 0.97972158 -0.98993415],0.0006945302892202399,0.0051995510614523885,[ 0.98406743 -0.99115313],0.0051995510614523885,[ 0.98406743 -0.99115313],1.1001102924346924,0.9,A2,9,9.900992631912231
1,0,1,0.007557067084243345,9.650632465771888,0.14515132542833323,[-1.02520385  1.01863271],6.866981269258901e-06,0.00011917915289948755,[ 1.00336932 -1.00040785],0.00011917915289948755,[ 1.00336932 -1.00040785],0.7892673015594482,0.9,A2,9,7.103405714035034
2,0,2,0.007557067084243345,9.650632465771888,0.14544188638261413,[-1.02348297  1.02033905],6.618703002889206e-06,0.00011461484992006098,[ 1.00330476 -1.00039854],0.00011461484992006098,[ 1.00330476 -1.00039854],0.7483384609222412,0.9,A2,9,6.735046148300171
3,0,3,0.007557067084243345,9.650632465771888,0.3630364603105353,[ 1.00292494 -1.00024173],6.573327636153449e-06,0.00011370218180436765,[ 1.00329163 -1.00039683],0.00011370218180436765,[ 1.00329163 -1.00039683],0.8699357509613037,0.9,A2,9,7.829421758651733
4,0,4,8.753928687026316e-05,9.650632465771888,0.0032773451233227475,[ 1.00123309 -1.00008309],1.135276592200058e-06,2.0062739058750646e-05,[ 1.001389   -1.00015043],2.0062739058750646e-05,[ 1.001389   -1.00015043],0.9288365840911865,0.9,A2,9,8.359529256820679
5,0,5,1.543983316695829e-05,9.650632465771888,0.00013644098148752937,[-1.0226777   1.02057054],4.3840384964026754e-07,7.839035797231487e-06,[ 1.00086998 -1.00008916],7.839035797231487e-06,[ 1.00086998 -1.00008916],0.8548822402954102,0.9,A2,9,7.693940162658691
6,0,6,1.543983316695829e-05,9.650632465771888,0.0003426690574556909,[ 1.00076927 -1.00004545],4.3723843284057283e-07,7.814193904166156e-06,[ 1.00086859 -1.00008906],7.814193904166156e-06,[ 1.00086859 -1.00008906],0.8994119167327881,0.9,A2,9,8.094707250595093
7,0,7,5.988042972545945e-06,9.650632465771888,9.160911236885394e-05,[ 1.00056101 -1.00002598],2.2617631669735765e-07,4.0762940887258894e-06,[ 1.00062816 -1.00006195],4.0762940887258894e-06,[ 1.00062816 -1.00006195],0.9028995037078857,0.9,A2,9,8.126095533370972
8,0,8,3.170300455650342e-06,9.650632465771888,3.715607627398968e-05,[ 1.00041502 -0.99999659],1.3646442210192585e-07,2.4758620606538276e-06,[ 1.00049005 -1.00004676],2.4758620606538276e-06,[ 1.00049005 -1.00004676],1.250218152999878,0.9,A2,9,11.251963376998901
9,1,0,9.650632465771888,0.4369113496274471,21.031949555472885,[ 0.97972219 -0.98993481],0.0006945193594183483,0.005199418901459729,[ 0.98406771 -0.9911532 ],0.005199418901459729,[ 0.98406771 -0.9911532 ],0.803231954574585,0.9,A2,9,7.229087591171265
10,1,1,0.007556369137422611,9.650632465771888,0.145137854179243,[-1.02520072  1.0186296 ],6.866244502326136e-06,0.00011916710594309697,[ 1.00336916 -1.00040782],0.00011916710594309697,[ 1.00336916 -1.00040782],0.7424919605255127,0.9,A2,9,6.682427644729614
11,1,2,0.007556369137422611,9.650632465771888,0.14542841509809032,[-1.02347941  1.02033573],6.617991020031325e-06,0.00011460412467145015,[ 1.0033046  -1.00039853],0.00011460412467145015,[ 1.0033046  -1.00039853],0.6800391674041748,0.9,A2,9,6.120352506637573
12,1,3,0.007556369137422611,9.650632465771888,0.3630027927908489,[ 1.00292477 -1.00024171],6.572624668384727e-06,0.0001137007378491729,[ 1.00329166 -1.0003967 ],0.0001137007378491729,[ 1.00329166 -1.0003967 ],0.7174837589263916,0.9,A2,9,6.457353830337524
13,1,4,8.752947757681659e-05,9.650632465771888,0.003276893109195544,[ 1.00123303 -1.00008308],1.1351688844123345e-06,2.0063718093791133e-05,[ 1.00138903 -1.00015047],2.0063718093791133e-05,[ 1.00138903 -1.00015047],0.771136999130249,0.9,A2,9,6.940232992172241
14,1,5,1.54382940254701e-05,9.650632465771888,0.00013642188935613568,[-1.02283737  1.02072941],4.383639763033909e-07,7.839480147613582e-06,[ 1.00086997 -1.00008928],7.839480147613582e-06,[ 1.00086997 -1.00008928],0.6965618133544922,0.9,A2,9,6.26905632019043
15,1,6,1.54382940254701e-05,9.650632465771888,0.00034262068509520905,[ 1.00076924 -1.00004545],4.371962327563389e-07,7.813131657794978e-06,[ 1.00086855 -1.00008901],7.813131657794978e-06,[ 1.00086855 -1.00008901],0.7475783824920654,0.9,A2,9,6.728205442428589
16,1,7,5.987477228526676e-06,9.650632465771888,9.159651820913457e-05,[ 1.00055913 -1.00002942],2.2615502138799204e-07,4.0747057567419935e-06,[ 1.00062804 -1.00006192],4.0747057567419935e-06,[ 1.00062804 -1.00006192],0.84368896484375,0.9,A2,9,7.59320068359375
