Method,Separation Factor,Run,Iteration,SSE,Max Eval,Minimum SSE,Theta 1,Min Theta 1,Theta 2,Min Theta 2,Time/Iter (Minutes),Total Run Time
1A,0.1,1,100,0.0315491738343043,100,0.0315491738343043,0.9849367427952704,0.9849367427952704,-1.0333885661785165,-1.0333885661785165,0.0547,5.47
1A,0.1,2,100,3.1099072686707165,100,3.1099072686707165,1.5514455570638777,1.5514455570638777,-1.0121981908353763,-1.0121981908353763,0.0547,5.47
1A,0.1,3,45,6.760420474637746e-05,100,6.760420474637746e-05,0.9947780102634196,0.9947780102634196,-1.0043164755917349,-1.0043164755917349,0.0547,5.47
1A,0.1,4,1,123.41479457052,2,123.41479457052,-2.0,-2.0,-2.0,-2.0,0.0547,0.1094
1A,0.1,5,2,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.1,6,15,0.3319025181451993,100,0.3319025181451993,1.1753150491135005,1.1753150491135005,-1.013045191299205,-1.013045191299205,0.0547,5.47
1A,0.1,7,2,34.277544041611826,6,34.277544041611826,0.7694286187792152,0.7694286187792152,-2.0,-2.0,0.0547,0.3282
1A,0.1,8,1,7.488164560658779,100,7.488164560658779,0.1353983849841058,0.1353983849841058,-0.9449846970155434,-0.9449846970155434,0.0547,5.47
1A,0.1,9,2,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
1A,0.1,10,5,5.407335009088434,100,5.407335009088434,1.6078737195756627,1.6078737195756627,-0.7837730268176626,-0.7837730268176626,0.0547,5.47
1A,0.1,11,97,0.9077552413009128,100,0.9077552413009128,1.154079801266168,1.154079801266168,-1.1417727645810185,-1.1417727645810185,0.0547,5.47
1A,0.1,12,3,39.246065416588486,6,39.246065416588486,1.7338153166907622,1.7338153166907622,-2.0,-2.0,0.0547,0.3282
1A,0.1,13,1,123.41479457052,2,123.41479457052,-2.0,-2.0,-2.0,-2.0,0.0547,0.1094
1A,0.1,14,3,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
1A,0.1,15,100,0.0315491738343043,100,0.0315491738343043,0.9849367427952704,0.9849367427952704,-1.0333885661785165,-1.0333885661785165,0.0547,5.47
1A,0.2,1,100,0.9687648154827068,100,0.9687648154827068,1.2837167141791397,1.2837167141791397,-0.9416257414237994,-0.9416257414237994,0.0547,5.47
1A,0.2,2,5,4.673503056239185,100,4.673503056239185,1.6556125605642782,1.6556125605642782,-1.0967189127047343,-1.0967189127047343,0.0547,5.47
1A,0.2,3,100,4.233386427447424,100,4.233386427447424,0.3532221679667296,0.3532221679667296,-0.942198050060154,-0.942198050060154,0.0547,5.47
1A,0.2,4,1,123.41479457052,2,123.41479457052,-2.0,-2.0,-2.0,-2.0,0.0547,0.1094
1A,0.2,5,1,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.2,6,1,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.2,7,8,0.4996919601229979,100,0.4996919601229979,1.1330524454776951,1.1330524454776951,-1.0982677241598846,-1.0982677241598846,0.0547,5.47
1A,0.2,8,1,34.34638575949325,5,34.34638575949325,0.7545927592269074,0.7545927592269074,-2.0,-2.0,0.0547,0.2734999999999999
1A,0.2,9,3,35.43784807738531,3,35.43784807738531,1.402032388355772,1.402032388355772,-2.0,-2.0,0.0547,0.1641
1A,0.2,10,5,37.757443037183,5,37.757443037183,2.0,2.0,-1.904934090162102,-1.904934090162102,0.0547,0.2734999999999999
1A,0.2,11,1,43.893041744635234,4,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.2188
1A,0.2,12,2,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
1A,0.2,13,2,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.2,14,1,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.2,15,100,0.9687648154827068,100,0.9687648154827068,1.2837167141791397,1.2837167141791397,-0.9416257414237994,-0.9416257414237994,0.0547,5.47
1A,0.3,1,2,9.254778967910902,100,9.254778967910902,1.134451259442481,1.134451259442481,-1.5194804124233077,-1.5194804124233077,0.0547,5.47
1A,0.3,2,9,16.80549046716769,9,16.80549046716769,1.373186717295962,1.373186717295962,-1.6756475613142805,-1.6756475613142805,0.0547,0.4922999999999999
1A,0.3,3,28,0.0210971867821452,100,0.0210971867821452,0.9493898662417798,0.9493898662417798,-1.009151580758412,-1.009151580758412,0.0547,5.47
1A,0.3,4,1,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.3,5,1,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
1A,0.3,6,1,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.3,7,5,2.19823048281643,100,2.19823048281643,1.145781988520935,1.145781988520935,-1.2439232247153762,-1.2439232247153762,0.0547,5.47
1A,0.3,8,3,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
1A,0.3,9,2,43.893041744635234,2,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1094
1A,0.3,10,1,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
1A,0.3,11,1,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
1A,0.3,12,1,43.893041744635234,3,43.893041744635234,2.0,2.0,-2.0,-2.0,0.0547,0.1641
